heldout_site,mapping,missing_indicators,domain,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,False,id_test,marginal,0.2,class1_singleton_accuracy,10,0.9139804806513192,0.04624136894496846,0.8333333333333334,0.9090909090909091,0.9175084175084175,0.9377005347593583,0.9787234042553191
Cleveland,isotonic,False,id_test,marginal,0.2,empty_rate,10,0.007526881720430108,0.02380208991524587,0.0,0.0,0.0,0.0,0.07526881720430108
Cleveland,isotonic,False,ood_test,label_conditional,0.05,coverage,10,0.932013201320132,0.0841307287804238,0.7722772277227723,0.8993399339933993,0.9620462046204621,0.9966996699669967,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,avg_set_size,10,1.7415841584158414,0.2889587160702151,1.1782178217821782,1.5148514851485149,1.8844884488448845,1.9554455445544554,2.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,singleton_rate,10,0.2584158415841584,0.2889587160702151,0.0,0.04455445544554455,0.11551155115511551,0.4851485148514852,0.8217821782178217
Cleveland,isotonic,False,ood_test,label_conditional,0.05,singleton_accuracy,9,0.7536052039753504,0.21790289738275215,0.375,0.5988372093023255,0.7670682730923695,0.9666666666666667,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class0_coverage,10,0.9908536585365854,0.011224960383320395,0.9695121951219512,0.9817073170731707,0.9969512195121951,1.0,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class1_coverage,10,0.8625899280575539,0.17808722471584162,0.5251798561151079,0.7805755395683454,0.9424460431654677,1.0,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class0_avg_set_size,10,1.7207317073170731,0.3337767227569538,1.0609756097560976,1.4710365853658536,1.850609756097561,1.9908536585365852,2.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class1_avg_set_size,10,1.7661870503597121,0.24632044809100845,1.316546762589928,1.566546762589928,1.8237410071942446,1.9802158273381296,2.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class0_singleton_accuracy,8,0.7375753331635684,0.45557838537639883,0.0,0.7121212121212122,0.975553857906799,1.0,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,class1_singleton_accuracy,9,0.4734226871526643,0.47115093505090777,0.0,0.0,0.42105263157894735,1.0,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.05,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
