analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,singleton_accuracy,10,0.7360697197539303,0.14934595878368337,0.3333333333333333,0.7288961038961039,0.7947368421052632,0.8,0.8333333333333334
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class0_coverage,10,0.9976190476190476,0.007529232524210436,0.9761904761904762,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class1_coverage,10,0.6714285714285715,0.11761037176408068,0.5,0.5892857142857143,0.6785714285714286,0.7142857142857143,0.9285714285714286
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class0_avg_set_size,10,1.6214285714285714,0.21777002623994474,1.1666666666666667,1.6011904761904763,1.619047619047619,1.6785714285714286,1.9523809523809523
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class1_avg_set_size,10,1.6714285714285715,0.11761037176408065,1.5,1.5892857142857142,1.6785714285714284,1.7142857142857142,1.9285714285714286
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class0_singleton_accuracy,10,0.99375,0.01976423537605237,0.9375,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.1,marginal,class1_singleton_accuracy,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,coverage,10,0.8625,0.07095577652469334,0.7678571428571429,0.8080357142857143,0.8392857142857142,0.9196428571428572,0.9642857142857143
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,avg_set_size,10,1.5660714285714286,0.22915507082598188,1.2142857142857142,1.4330357142857144,1.5178571428571428,1.7857142857142856,1.8928571428571428
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,singleton_rate,10,0.43392857142857144,0.22915507082598188,0.10714285714285714,0.2142857142857143,0.48214285714285715,0.5669642857142857,0.7857142857142857
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,ambiguous_rate,10,0.5660714285714287,0.2291550708259819,0.21428571428571427,0.4330357142857143,0.5178571428571429,0.7857142857142857,0.8928571428571429
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,singleton_accuracy,10,0.6612820914232205,0.14388993976000186,0.3333333333333333,0.6066028225806451,0.7167167167167168,0.7708333333333334,0.7777777777777778
