analysis_id,estimand,representation,horizon_day,domain,desired_selection_rate,metric,n_repeats,mean,sd,min,q25,median,q75,max
FFF-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_risk,10,0.2917331275810925,0.008766819603623386,0.2811906269791007,0.2870960515833576,0.29046056350203814,0.2926802915980633,0.3138075313807531
FFF-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_accuracy,10,0.7082668724189075,0.00876681960362338,0.6861924686192469,0.7073197084019367,0.7095394364979618,0.7129039484166424,0.7188093730208993
FFF-J,landmark_still_registered,score_free,14,ood_test,0.95,selection_rate,10,0.9438333333333334,0.01592474155802807,0.9233333333333333,0.9330555555555555,0.9427777777777777,0.9540277777777778,0.97
FFF-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_risk,10,0.29947757287512716,0.00805662393380477,0.29038004750593827,0.29407893497999443,0.29875628019582423,0.3033608380617491,0.3171445289643066
FFF-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_accuracy,10,0.7005224271248728,0.008056623933804782,0.6828554710356933,0.6966391619382508,0.7012437198041758,0.7059210650200055,0.7096199524940617
FFF-J,landmark_still_registered,score_free,56,id_test,0.5,selection_rate,10,0.5059027777777778,0.020116926082793456,0.4791666666666667,0.49392361111111116,0.5034722222222222,0.5217013888888888,0.5381944444444444
FFF-J,landmark_still_registered,score_free,56,id_test,0.5,selective_risk,10,0.14750851019972952,0.020494400161825865,0.10526315789473684,0.13913170163170163,0.1478062338693667,0.1580566493645964,0.18064516129032257
FFF-J,landmark_still_registered,score_free,56,id_test,0.5,selective_accuracy,10,0.8524914898002705,0.020494400161825865,0.8193548387096774,0.8419433506354036,0.8521937661306334,0.8608682983682984,0.8947368421052632
FFF-J,landmark_still_registered,score_free,56,id_test,0.7,selection_rate,10,0.7128472222222222,0.03714718863001419,0.6597222222222222,0.6848958333333334,0.7118055555555556,0.7430555555555556,0.7708333333333334
FFF-J,landmark_still_registered,score_free,56,id_test,0.7,selective_risk,10,0.19221944804028457,0.015411883360280761,0.17307692307692307,0.178042719678545,0.19295665634674922,0.19906283710895362,0.21621621621621623
FFF-J,landmark_still_registered,score_free,56,id_test,0.7,selective_accuracy,10,0.8077805519597154,0.01541188336028076,0.7837837837837838,0.8009371628910464,0.8070433436532508,0.821957280321455,0.8269230769230769
FFF-J,landmark_still_registered,score_free,56,id_test,0.8,selection_rate,10,0.8079861111111113,0.02778018893856334,0.7708333333333334,0.7829861111111112,0.8055555555555556,0.8289930555555556,0.8472222222222222
FFF-J,landmark_still_registered,score_free,56,id_test,0.8,selective_risk,10,0.217010049884582,0.014520178386600765,0.18907563025210083,0.20892076502732243,0.21980676328502413,0.22876154314047148,0.23555555555555555
FFF-J,landmark_still_registered,score_free,56,id_test,0.8,selective_accuracy,10,0.7829899501154179,0.01452017838660076,0.7644444444444445,0.7712384568595285,0.7801932367149759,0.7910792349726776,0.8109243697478992
FFF-J,landmark_still_registered,score_free,56,id_test,0.9,selection_rate,10,0.9041666666666668,0.02019335971070778,0.8576388888888888,0.896701388888889,0.90625,0.9184027777777777,0.9270833333333334
FFF-J,landmark_still_registered,score_free,56,id_test,0.9,selective_risk,10,0.23891065165328912,0.018907095798284694,0.19305019305019305,0.2351218438050499,0.24293467130862173,0.2509931917087446,0.2558139534883721
FFF-J,landmark_still_registered,score_free,56,id_test,0.9,selective_accuracy,10,0.7610893483467108,0.01890709579828468,0.7441860465116279,0.7490068082912554,0.7570653286913782,0.76487815619495,0.8069498069498069
