bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
4,0.4,0.5,13,13.0,0.8461538461538461,0.4614083209033124,0.38474552525053374,Switzerland,6
5,0.5,0.6000000000000001,14,14.0,1.0,0.5563067418427207,0.44369325815727934,Switzerland,6
6,0.6000000000000001,0.7000000000000001,9,9.0,1.0,0.6549302026073108,0.34506979739268917,Switzerland,6
7,0.7000000000000001,0.8,19,19.0,0.9473684210526315,0.7458683999946881,0.2015000210579434,Switzerland,6
8,0.8,0.9,23,23.0,0.9565217391304348,0.8505064675270795,0.10601527160335533,Switzerland,6
9,0.9,1.0,18,18.0,1.0,0.9373692140503385,0.06263078594966154,Switzerland,6
0,0.0,0.1,1,1.0,0.0,0.043320393816771795,0.043320393816771795,Switzerland,7
1,0.1,0.2,11,11.0,0.7272727272727273,0.14877312527788167,0.5784996019948456,Switzerland,7
2,0.2,0.30000000000000004,6,6.0,1.0,0.24939490500685316,0.7506050949931469,Switzerland,7
3,0.30000000000000004,0.4,6,6.0,1.0,0.350958184978523,0.649041815021477,Switzerland,7
4,0.4,0.5,13,13.0,0.9230769230769231,0.44882052809561723,0.4742563949813059,Switzerland,7
5,0.5,0.6000000000000001,13,13.0,0.9230769230769231,0.5631894181847987,0.3598875048921244,Switzerland,7
6,0.6000000000000001,0.7000000000000001,16,16.0,1.0,0.6489139647444229,0.35108603525557713,Switzerland,7
7,0.7000000000000001,0.8,18,18.0,1.0,0.7607759608081388,0.2392240391918612,Switzerland,7
8,0.8,0.9,23,23.0,0.9130434782608695,0.8517650246293632,0.0612784536315063,Switzerland,7
9,0.9,1.0,16,16.0,1.0,0.9363893531583292,0.06361064684167084,Switzerland,7
0,0.0,0.1,8,8.0,0.625,0.05789876010755665,0.5671012398924433,Switzerland,8
1,0.1,0.2,9,9.0,0.8888888888888888,0.13333155019602447,0.7555573386928643,Switzerland,8
2,0.2,0.30000000000000004,8,8.0,1.0,0.24301339215420284,0.7569866078457972,Switzerland,8
3,0.30000000000000004,0.4,12,12.0,0.9166666666666666,0.3445271385024257,0.572139528164241,Switzerland,8
4,0.4,0.5,14,14.0,0.9285714285714286,0.4625601410225578,0.4660112875488708,Switzerland,8
5,0.5,0.6000000000000001,13,13.0,1.0,0.543270376400774,0.456729623599226,Switzerland,8
6,0.6000000000000001,0.7000000000000001,14,14.0,1.0,0.6637582026309826,0.3362417973690174,Switzerland,8
7,0.7000000000000001,0.8,17,17.0,0.9411764705882353,0.7578342496981044,0.18334222089013086,Switzerland,8
8,0.8,0.9,15,15.0,0.9333333333333333,0.858846611354027,0.07448672197930639,Switzerland,8
9,0.9,1.0,13,13.0,1.0,0.9387441444655439,0.061255855534456116,Switzerland,8
0,0.0,0.1,7,7.0,0.5714285714285714,0.05744683989409055,0.5139817315344808,Switzerland,9
1,0.1,0.2,4,4.0,1.0,0.16563696850648757,0.8343630314935124,Switzerland,9
2,0.2,0.30000000000000004,7,7.0,0.8571428571428571,0.24425162978283163,0.6128912273600254,Switzerland,9
3,0.30000000000000004,0.4,4,4.0,1.0,0.36928875457537924,0.6307112454246208,Switzerland,9
4,0.4,0.5,9,9.0,0.8888888888888888,0.4669819789096109,0.42190690997927793,Switzerland,9
5,0.5,0.6000000000000001,8,8.0,1.0,0.5429080229632705,0.45709197703672955,Switzerland,9
6,0.6000000000000001,0.7000000000000001,7,7.0,0.8571428571428571,0.676305183461407,0.1808376736814501,Switzerland,9
7,0.7000000000000001,0.8,11,11.0,1.0,0.7537677640756827,0.2462322359243173,Switzerland,9
8,0.8,0.9,17,17.0,1.0,0.8610264738333536,0.13897352616664638,Switzerland,9
9,0.9,1.0,49,49.0,0.9591836734693877,0.9573323072319315,0.0018513662374561868,Switzerland,9
0,0.0,0.1,9,9.0,0.6666666666666666,0.07026669953089887,0.5963999671357678,VA Long Beach,0
1,0.1,0.2,20,20.0,0.4,0.14711348144635025,0.25288651855364974,VA Long Beach,0
2,0.2,0.30000000000000004,12,12.0,0.5,0.2400350383645036,0.2599649616354964,VA Long Beach,0
3,0.30000000000000004,0.4,10,10.0,0.6,0.35383902093981545,0.24616097906018453,VA Long Beach,0
4,0.4,0.5,13,13.0,0.8461538461538461,0.45890848722770666,0.3872453589261395,VA Long Beach,0
5,0.5,0.6000000000000001,14,14.0,0.7142857142857143,0.5628623385048891,0.1514233757808252,VA Long Beach,0
6,0.6000000000000001,0.7000000000000001,8,8.0,0.75,0.6570435025318146,0.09295649746818535,VA Long Beach,0
7,0.7000000000000001,0.8,9,9.0,0.3333333333333333,0.7382948684363297,0.40496153510299643,VA Long Beach,0
8,0.8,0.9,23,23.0,1.0,0.8596610182301289,0.14033898176987114,VA Long Beach,0
9,0.9,1.0,82,82.0,0.8536585365853658,0.9657195564485468,0.11206101986318096,VA Long Beach,0
1,0.1,0.2,8,8.0,0.625,0.15447236738652856,0.4705276326134714,VA Long Beach,1
2,0.2,0.30000000000000004,21,21.0,0.42857142857142855,0.2538604979595816,0.17471093061184695,VA Long Beach,1
3,0.30000000000000004,0.4,18,18.0,0.5555555555555556,0.35692338709273524,0.19863216846282034,VA Long Beach,1
4,0.4,0.5,12,12.0,0.75,0.4642692041321361,0.2857307958678639,VA Long Beach,1
5,0.5,0.6000000000000001,19,19.0,0.7894736842105263,0.5542599736838993,0.23521371052662698,VA Long Beach,1
6,0.6000000000000001,0.7000000000000001,17,17.0,0.5882352941176471,0.6561367795699548,0.06790148545230767,VA Long Beach,1
7,0.7000000000000001,0.8,25,25.0,0.88,0.7600573622143822,0.11994263778561776,VA Long Beach,1
8,0.8,0.9,36,36.0,0.8611111111111112,0.8473101202256678,0.013800990885443398,VA Long Beach,1
9,0.9,1.0,44,44.0,0.8636363636363636,0.9432818351167837,0.07964547148042,VA Long Beach,1
0,0.0,0.1,1,1.0,1.0,0.09614070070919739,0.9038592992908026,VA Long Beach,2
1,0.1,0.2,21,21.0,0.47619047619047616,0.16281416850238917,0.313376307688087,VA Long Beach,2
2,0.2,0.30000000000000004,15,15.0,0.5333333333333333,0.24359120208082574,0.2897421312525076,VA Long Beach,2
3,0.30000000000000004,0.4,9,9.0,0.5555555555555556,0.34558254671279426,0.20997300884276132,VA Long Beach,2
4,0.4,0.5,12,12.0,0.5833333333333334,0.44458432412260146,0.1387490092107319,VA Long Beach,2
5,0.5,0.6000000000000001,22,22.0,0.7727272727272727,0.5507947947005161,0.22193247802675664,VA Long Beach,2
6,0.6000000000000001,0.7000000000000001,21,21.0,0.6666666666666666,0.646463685190474,0.020202981476192594,VA Long Beach,2
7,0.7000000000000001,0.8,22,22.0,0.9545454545454546,0.7584657099971621,0.19607974454829247,VA Long Beach,2
8,0.8,0.9,34,34.0,0.7941176470588235,0.8498260036516654,0.0557083565928419,VA Long Beach,2
9,0.9,1.0,43,43.0,0.9069767441860465,0.9488372176402079,0.04186047345416144,VA Long Beach,2
1,0.1,0.2,6,6.0,0.5,0.15965301969586834,0.3403469803041317,VA Long Beach,3
2,0.2,0.30000000000000004,19,19.0,0.47368421052631576,0.2613370464109979,0.21234716411531784,VA Long Beach,3
3,0.30000000000000004,0.4,8,8.0,0.5,0.3562599191749288,0.14374008082507123,VA Long Beach,3
4,0.4,0.5,12,12.0,0.75,0.45798834391612114,0.29201165608387886,VA Long Beach,3
5,0.5,0.6000000000000001,14,14.0,0.5714285714285714,0.5518562274723859,0.019572343956185456,VA Long Beach,3
6,0.6000000000000001,0.7000000000000001,14,14.0,0.7142857142857143,0.6500786688497635,0.0642070454359508,VA Long Beach,3
7,0.7000000000000001,0.8,32,32.0,0.78125,0.7603075757237361,0.020942424276263916,VA Long Beach,3
8,0.8,0.9,34,34.0,0.8529411764705882,0.8580030201316818,0.005061843661093635,VA Long Beach,3
9,0.9,1.0,61,61.0,0.8524590163934426,0.9448775195833488,0.09241850318990619,VA Long Beach,3
1,0.1,0.2,10,10.0,0.6,0.1614824566141048,0.4385175433858952,VA Long Beach,4
2,0.2,0.30000000000000004,21,21.0,0.38095238095238093,0.2587211175219652,0.12223126343041574,VA Long Beach,4
3,0.30000000000000004,0.4,15,15.0,0.6,0.3415813693171372,0.2584186306828628,VA Long Beach,4
4,0.4,0.5,13,13.0,0.8461538461538461,0.4500144206759161,0.39613942547793,VA Long Beach,4
5,0.5,0.6000000000000001,21,21.0,0.7619047619047619,0.5551709366133396,0.20673382529142226,VA Long Beach,4
6,0.6000000000000001,0.7000000000000001,14,14.0,0.42857142857142855,0.6589841479017345,0.230412719330306,VA Long Beach,4
7,0.7000000000000001,0.8,20,20.0,0.95,0.7504962176076198,0.1995037823923802,VA Long Beach,4
8,0.8,0.9,39,39.0,0.8461538461538461,0.8545952377472389,0.008441391593392744,VA Long Beach,4
9,0.9,1.0,47,47.0,0.8723404255319149,0.9483639949419778,0.07602356941006283,VA Long Beach,4
1,0.1,0.2,5,5.0,0.4,0.15778354927763608,0.24221645072236395,VA Long Beach,5
2,0.2,0.30000000000000004,17,17.0,0.5294117647058824,0.25995611755084413,0.2694556471550382,VA Long Beach,5
3,0.30000000000000004,0.4,10,10.0,0.5,0.3450767571317901,0.1549232428682099,VA Long Beach,5
4,0.4,0.5,12,12.0,0.5,0.4607030666724605,0.039296933327539474,VA Long Beach,5
5,0.5,0.6000000000000001,15,15.0,0.6,0.5471502440937059,0.05284975590629404,VA Long Beach,5
6,0.6000000000000001,0.7000000000000001,27,27.0,0.6666666666666666,0.6390526955763818,0.02761397109028485,VA Long Beach,5
7,0.7000000000000001,0.8,27,27.0,0.8148148148148148,0.7573857029313978,0.05742911188341693,VA Long Beach,5
8,0.8,0.9,35,35.0,0.8857142857142857,0.8631409475773474,0.022573338136938292,VA Long Beach,5
9,0.9,1.0,52,52.0,0.9038461538461539,0.9438070451332307,0.039960891287076805,VA Long Beach,5
1,0.1,0.2,10,10.0,0.5,0.1521339085497774,0.3478660914502226,VA Long Beach,6
2,0.2,0.30000000000000004,20,20.0,0.5,0.23262253282383716,0.26737746717616284,VA Long Beach,6
3,0.30000000000000004,0.4,12,12.0,0.4166666666666667,0.3535671323819734,0.06309953428469328,VA Long Beach,6
4,0.4,0.5,19,19.0,0.7368421052631579,0.4549544055294897,0.2818876997336682,VA Long Beach,6
5,0.5,0.6000000000000001,11,11.0,0.8181818181818182,0.5476742602440117,0.27050755793780656,VA Long Beach,6
6,0.6000000000000001,0.7000000000000001,21,21.0,0.7142857142857143,0.6414180748906395,0.07286763939507479,VA Long Beach,6
7,0.7000000000000001,0.8,26,26.0,0.8076923076923077,0.758033688789269,0.04965861890303869,VA Long Beach,6
8,0.8,0.9,38,38.0,0.8421052631578947,0.8506852642431876,0.008580001085292888,VA Long Beach,6
9,0.9,1.0,43,43.0,0.8837209302325582,0.9446664209217981,0.060945490689239934,VA Long Beach,6
1,0.1,0.2,6,6.0,0.5,0.15350463274788487,0.34649536725211516,VA Long Beach,7
2,0.2,0.30000000000000004,16,16.0,0.625,0.25644574461413305,0.36855425538586695,VA Long Beach,7
3,0.30000000000000004,0.4,18,18.0,0.3888888888888889,0.34409732479830313,0.04479156409058577,VA Long Beach,7
4,0.4,0.5,8,8.0,0.625,0.4526891429342472,0.17231085706575278,VA Long Beach,7
5,0.5,0.6000000000000001,15,15.0,0.7333333333333333,0.5668720468963412,0.1664612864369921,VA Long Beach,7
6,0.6000000000000001,0.7000000000000001,18,18.0,0.7222222222222222,0.6381052572379722,0.08411696498425003,VA Long Beach,7
7,0.7000000000000001,0.8,18,18.0,0.6111111111111112,0.7567661993384546,0.1456550882273434,VA Long Beach,7
8,0.8,0.9,26,26.0,0.9615384615384616,0.8656431262262292,0.09589533531223238,VA Long Beach,7
9,0.9,1.0,75,75.0,0.8533333333333334,0.950481758187179,0.09714842485384556,VA Long Beach,7
0,0.0,0.1,1,1.0,1.0,0.09279121935840888,0.9072087806415912,VA Long Beach,8
1,0.1,0.2,11,11.0,0.36363636363636365,0.15757583507177492,0.20606052856458873,VA Long Beach,8
2,0.2,0.30000000000000004,17,17.0,0.5294117647058824,0.2551135233309685,0.2742982413749139,VA Long Beach,8
3,0.30000000000000004,0.4,8,8.0,0.375,0.34703198865023854,0.027968011349761457,VA Long Beach,8
4,0.4,0.5,9,9.0,0.6666666666666666,0.44023351292387086,0.22643315374279577,VA Long Beach,8
5,0.5,0.6000000000000001,11,11.0,0.6363636363636364,0.5367838513500963,0.09957978501354003,VA Long Beach,8
6,0.6000000000000001,0.7000000000000001,15,15.0,0.7333333333333333,0.6478098982522186,0.08552343508111471,VA Long Beach,8
7,0.7000000000000001,0.8,24,24.0,0.75,0.7512343112387713,0.0012343112387712685,VA Long Beach,8
8,0.8,0.9,34,34.0,0.7941176470588235,0.8572817755199847,0.06316412846116126,VA Long Beach,8
9,0.9,1.0,70,70.0,0.9,0.9542326596027034,0.054232659602703404,VA Long Beach,8
0,0.0,0.1,2,2.0,0.5,0.0803231018619219,0.41967689813807807,VA Long Beach,9
1,0.1,0.2,14,14.0,0.35714285714285715,0.1553470223405404,0.20179583480231675,VA Long Beach,9
2,0.2,0.30000000000000004,19,19.0,0.6842105263157895,0.23735438230340217,0.4468561440123873,VA Long Beach,9
3,0.30000000000000004,0.4,9,9.0,0.3333333333333333,0.35828946031619074,0.02495612698285743,VA Long Beach,9
4,0.4,0.5,10,10.0,0.7,0.44979664661586394,0.250203353384136,VA Long Beach,9
5,0.5,0.6000000000000001,12,12.0,0.8333333333333334,0.550557764886147,0.2827755684471863,VA Long Beach,9
6,0.6000000000000001,0.7000000000000001,19,19.0,0.47368421052631576,0.6530013220986977,0.1793171115723819,VA Long Beach,9
7,0.7000000000000001,0.8,11,11.0,0.8181818181818182,0.7525866006185747,0.06559521756324349,VA Long Beach,9
8,0.8,0.9,31,31.0,0.967741935483871,0.8547065733721765,0.11303536211169452,VA Long Beach,9
9,0.9,1.0,73,73.0,0.8493150684931506,0.9537786629198954,0.1044635944267448,VA Long Beach,9
