bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
7,0.7000000000000001,0.8,14,14.0,0.7142857142857143,0.759411493480349,0.045125779194634674,Cleveland,3
8,0.8,0.9,17,17.0,0.8823529411764706,0.8620334528667094,0.020319488309761158,Cleveland,3
9,0.9,1.0,68,68.0,0.8970588235294118,0.9651310549744252,0.0680722314450134,Cleveland,3
0,0.0,0.1,22,22.0,0.18181818181818182,0.06839788659464369,0.11342029522353814,Cleveland,4
1,0.1,0.2,35,35.0,0.08571428571428572,0.1538485025463433,0.06813421683205759,Cleveland,4
2,0.2,0.30000000000000004,38,38.0,0.23684210526315788,0.24787721755682,0.011035112293662108,Cleveland,4
3,0.30000000000000004,0.4,40,40.0,0.45,0.35326198520295266,0.09673801479704736,Cleveland,4
4,0.4,0.5,21,21.0,0.38095238095238093,0.44374585160639735,0.06279347065401641,Cleveland,4
5,0.5,0.6000000000000001,26,26.0,0.34615384615384615,0.5560833329875313,0.20992948683368517,Cleveland,4
6,0.6000000000000001,0.7000000000000001,27,27.0,0.37037037037037035,0.6449621771156309,0.2745918067452605,Cleveland,4
7,0.7000000000000001,0.8,26,26.0,0.8076923076923077,0.7514280218492198,0.05626428584308796,Cleveland,4
8,0.8,0.9,45,45.0,0.8444444444444444,0.8493662085398277,0.004921764095383252,Cleveland,4
9,0.9,1.0,23,23.0,0.8260869565217391,0.9284870220664339,0.10240006554469472,Cleveland,4
0,0.0,0.1,197,197.0,0.25380710659898476,0.01075116615702977,0.243055940441955,Cleveland,5
1,0.1,0.2,16,16.0,0.625,0.1389584899689194,0.4860415100310806,Cleveland,5
2,0.2,0.30000000000000004,2,2.0,1.0,0.2701199986602163,0.7298800013397837,Cleveland,5
3,0.30000000000000004,0.4,4,4.0,0.5,0.33675632438338843,0.16324367561661157,Cleveland,5
4,0.4,0.5,6,6.0,0.8333333333333334,0.4620071466721974,0.371326186661136,Cleveland,5
5,0.5,0.6000000000000001,11,11.0,0.9090909090909091,0.5279487924530689,0.38114211663784014,Cleveland,5
6,0.6000000000000001,0.7000000000000001,3,3.0,1.0,0.6508224196628337,0.3491775803371663,Cleveland,5
7,0.7000000000000001,0.8,6,6.0,0.6666666666666666,0.7459877399141049,0.07932107324743831,Cleveland,5
8,0.8,0.9,12,12.0,0.9166666666666666,0.8452481904437885,0.07141847622287811,Cleveland,5
9,0.9,1.0,46,46.0,0.9130434782608695,0.9823682091937107,0.0693247309328412,Cleveland,5
0,0.0,0.1,54,54.0,0.07407407407407407,0.060011727249542325,0.014062346824531745,Cleveland,6
1,0.1,0.2,35,35.0,0.3142857142857143,0.14977887430595319,0.1645068399797611,Cleveland,6
2,0.2,0.30000000000000004,26,26.0,0.11538461538461539,0.2503657806961582,0.13498116531154283,Cleveland,6
3,0.30000000000000004,0.4,28,28.0,0.32142857142857145,0.34771230423168165,0.026283732803110194,Cleveland,6
4,0.4,0.5,20,20.0,0.1,0.4395925219476936,0.3395925219476936,Cleveland,6
5,0.5,0.6000000000000001,15,15.0,0.4666666666666667,0.5396145439187214,0.07294787725205476,Cleveland,6
6,0.6000000000000001,0.7000000000000001,12,12.0,0.5833333333333334,0.637340849793394,0.054007516460060634,Cleveland,6
7,0.7000000000000001,0.8,18,18.0,0.7222222222222222,0.7500143812962182,0.027792159073996014,Cleveland,6
8,0.8,0.9,24,24.0,0.8333333333333334,0.859167642002712,0.025834308669378636,Cleveland,6
9,0.9,1.0,71,71.0,0.8873239436619719,0.9596118376844575,0.07228789402248559,Cleveland,6
0,0.0,0.1,13,13.0,0.6153846153846154,0.06599538089858262,0.5493892344860328,Cleveland,7
1,0.1,0.2,9,9.0,0.6666666666666666,0.18234606712615398,0.48432059954051265,Cleveland,7
2,0.2,0.30000000000000004,3,3.0,0.6666666666666666,0.21799384328600424,0.4486728233806624,Cleveland,7
3,0.30000000000000004,0.4,14,14.0,0.6428571428571429,0.35127905910532725,0.29157808375181565,Cleveland,7
4,0.4,0.5,10,10.0,0.4,0.45552329549527704,0.055523295495277014,Cleveland,7
5,0.5,0.6000000000000001,14,14.0,0.2857142857142857,0.5421542318952752,0.25643994618098953,Cleveland,7
6,0.6000000000000001,0.7000000000000001,27,27.0,0.37037037037037035,0.6533650594636771,0.2829946890933067,Cleveland,7
7,0.7000000000000001,0.8,21,21.0,0.2857142857142857,0.7502715436150936,0.46455725790080793,Cleveland,7
8,0.8,0.9,50,50.0,0.42,0.8538836348366092,0.43388363483660924,Cleveland,7
9,0.9,1.0,142,142.0,0.4859154929577465,0.9617947584017666,0.47587926544402015,Cleveland,7
0,0.0,0.1,122,122.0,0.12295081967213115,0.03203576833928892,0.09091505133284222,Cleveland,8
1,0.1,0.2,28,28.0,0.39285714285714285,0.14540517137827644,0.2474519714788664,Cleveland,8
2,0.2,0.30000000000000004,17,17.0,0.4117647058823529,0.23558037728641665,0.17618432859593627,Cleveland,8
3,0.30000000000000004,0.4,12,12.0,0.5,0.34900746286208134,0.15099253713791866,Cleveland,8
4,0.4,0.5,14,14.0,0.5,0.44160157024102464,0.058398429758975356,Cleveland,8
5,0.5,0.6000000000000001,15,15.0,0.7333333333333333,0.5496135114961295,0.1837198218372038,Cleveland,8
6,0.6000000000000001,0.7000000000000001,13,13.0,0.5384615384615384,0.6523680172300584,0.11390647876852,Cleveland,8
7,0.7000000000000001,0.8,16,16.0,0.875,0.7476902063095838,0.12730979369041617,Cleveland,8
8,0.8,0.9,21,21.0,0.9047619047619048,0.8498505983525391,0.0549113064093657,Cleveland,8
