horizon_day,domain,conformal_method,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,id_test,label_conditional,size_weighted,avg_set_size,10,1.577528442112874,0.02347948824961566,1.5527820514472637,1.559976212682964,1.5758421955765942,1.5828034130042006,1.6308152752184841
14,id_test,label_conditional,size_weighted,singleton_rate,10,0.4224715578871258,0.023479488249615675,0.3691847247815158,0.41719658699579915,0.4241578044234058,0.4400237873170364,0.44721794855273617
14,id_test,label_conditional,size_weighted,class0_coverage,10,0.9095186952042187,0.018195405045469085,0.8772997857539188,0.9014714501539627,0.9097315467104798,0.9226668293207484,0.9353446093948523
14,id_test,label_conditional,size_weighted,class1_coverage,10,0.8938847589900243,0.012599701626264673,0.8784972951239113,0.8822986173484063,0.8922388910739728,0.9068605949174524,0.9095720555120494
14,id_test,label_conditional,size_weighted,class0_avg_set_size,10,1.6049175447320088,0.025475062658051384,1.5708910819947972,1.5946293634859243,1.5999302877164774,1.6157307812419954,1.6616008023662912
14,id_test,label_conditional,size_weighted,class1_avg_set_size,10,1.5481312148185742,0.027823227557424775,1.5048724933320117,1.5269784137382252,1.5523090451785062,1.5577008253963245,1.6031141070926334
14,id_test,label_conditional,size_weighted,class0_singleton_accuracy,9,0.7540462817389818,0.04664779290613567,0.6757345459743342,0.7395455066193896,0.7565908584898734,0.7960210906575189,0.7989916470568414
14,id_test,label_conditional,size_weighted,class1_singleton_accuracy,9,0.7599696890282206,0.03339518436480852,0.7111398926082524,0.7376290212376255,0.7522826975252124,0.7881714610529779,0.8156423534088809
14,id_test,marginal,equal_pair,coverage,10,0.9011394116507763,0.008841117952626694,0.8936876211427435,0.8950372292484179,0.8975398189792403,0.9033610613119164,0.9209631639067494
14,id_test,marginal,equal_pair,avg_set_size,10,1.5562740009063094,0.02899837512293768,1.492162359758193,1.5508064642060482,1.5568403828086805,1.5721004515531092,1.5971526553967477
14,id_test,marginal,equal_pair,singleton_rate,10,0.4437259990936906,0.028998375122937653,0.40284734460325217,0.42789954844689104,0.44315961719131974,0.44919353579395194,0.507837640241807
14,id_test,marginal,equal_pair,class0_coverage,10,0.9402911030992789,0.012257330591467339,0.9192805180027486,0.9333219520322565,0.9412463989899632,0.9495366914867459,0.9580217575020692
14,id_test,marginal,equal_pair,class1_coverage,10,0.8231331643250879,0.02010328507950679,0.7971126493882779,0.8092091748842684,0.8222310132512592,0.8369542144969195,0.8577797716237909
14,id_test,marginal,equal_pair,class0_avg_set_size,10,1.554855057896023,0.03677557363833482,1.471854031340956,1.5505261652646398,1.5572368748974372,1.578866299607936,1.5957459678676127
14,id_test,marginal,equal_pair,class1_avg_set_size,10,1.576880376287649,0.025828974171438968,1.5454898195716855,1.557283008502104,1.5721939480351321,1.596285953960175,1.6225135616501163
14,id_test,marginal,equal_pair,class0_singleton_accuracy,10,0.8570354003473195,0.03233493397451356,0.7966655234174335,0.8313167683443285,0.8698115464414471,0.8762295224841701,0.8983807150143946
14,id_test,marginal,equal_pair,class1_singleton_accuracy,10,0.5225052377509132,0.026851934512042493,0.4720214714301425,0.505209043003001,0.5230659255134693,0.5417874158014524,0.5582941757823403
14,id_test,marginal,size_weighted,coverage,10,0.9007139384514987,0.008538801662414773,0.8888602887321857,0.8972704244359568,0.899063126940266,0.9022360437418874,0.9213620512087629
14,id_test,marginal,size_weighted,avg_set_size,10,1.5477700187682832,0.025778094301763078,1.5144302078468215,1.5278608556229325,1.5486932417200565,1.5601345950433194,1.6007099595768124
14,id_test,marginal,size_weighted,singleton_rate,10,0.45222998123171665,0.025778094301763067,0.39929004042318755,0.43986540495668086,0.4513067582799435,0.47213914437706744,0.4855697921531786
14,id_test,marginal,size_weighted,class0_coverage,10,0.9330986601877933,0.013153047065695493,0.9109665134704011,0.9245860343118014,0.936764102651793,0.9422473171616352,0.9508384346635523
14,id_test,marginal,size_weighted,class1_coverage,10,0.8463753593674517,0.014550477056239462,0.8308516685381347,0.8347935293704944,0.8411063401359637,0.8584108758571567,0.8730414595975406
14,id_test,marginal,size_weighted,class0_avg_set_size,10,1.5476574074650624,0.032146385929154496,1.4998825079701332,1.5222019095775352,1.5481656432138746,1.5709285498387415,1.6038056927051738
14,id_test,marginal,size_weighted,class1_avg_set_size,10,1.5626696047363855,0.023678706833225913,1.526402378380221,1.5512585890637982,1.5581634237931454,1.5730593255394267,1.6127933091656088
14,id_test,marginal,size_weighted,class0_singleton_accuracy,10,0.842958849555815,0.03372700922230576,0.7793376966875434,0.8152330179782371,0.861354938973846,0.8637324088541516,0.8840798109602384
14,id_test,marginal,size_weighted,class1_singleton_accuracy,10,0.6080327674840521,0.024782342934763876,0.5656824989988429,0.5942416180685649,0.6087232157501419,0.6194118030617892,0.6440380349388151
14,ood_test,label_conditional,equal_pair,coverage,10,0.8901260649406273,0.00982615004403104,0.8757203136132656,0.8829592421340284,0.8907727449840612,0.8964160979878995,0.9059132974796648
14,ood_test,label_conditional,equal_pair,avg_set_size,10,1.5957073933643604,0.022728948195290873,1.5661101488607476,1.5830951030437357,1.5899281616031555,1.607951738546728,1.6432538792942202
14,ood_test,label_conditional,equal_pair,singleton_rate,10,0.40429260663563954,0.022728948195290814,0.35674612070578005,0.39204826145327226,0.4100718383968446,0.4169048969562642,0.4338898511392524
14,ood_test,label_conditional,equal_pair,class0_coverage,10,0.9183146524812391,0.01426575979212689,0.8976553033865086,0.90814887701773,0.9169043319369564,0.9284961589026142,0.9388410218884267
14,ood_test,label_conditional,equal_pair,class1_coverage,10,0.844778265430788,0.013247072686846054,0.8178463123345385,0.84025696529818,0.8464437323711318,0.8504172744700385,0.8683703618714149
14,ood_test,label_conditional,equal_pair,class0_avg_set_size,10,1.593428469522594,0.021847807925086938,1.558995706055299,1.5831501670959025,1.5920518093028087,1.5979369049678045,1.640863998613758
14,ood_test,label_conditional,equal_pair,class1_avg_set_size,10,1.5988623625922236,0.03163328225963153,1.5605598468824122,1.5741424563827968,1.5943822426501089,1.6210007245944813,1.6510280074969867
14,ood_test,label_conditional,equal_pair,class0_singleton_accuracy,10,0.7589339430441094,0.03961901750796295,0.6867571125578926,0.7399208052012057,0.7621769971917005,0.7839489994853349,0.8235887439086773
14,ood_test,label_conditional,equal_pair,class1_singleton_accuracy,10,0.6342573324415726,0.04676875930310994,0.5743810103484194,0.5870924617546305,0.6493726548121265,0.6698693516147098,0.699901182165857
14,ood_test,label_conditional,size_weighted,coverage,10,0.8843167110772745,0.011651574469360375,0.8670536733917016,0.8763085268366959,0.8854682146935668,0.892153597259231,0.8996954701180053
