domain_family,condition,model,domain,prevalence_mean,prevalence_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,selection_rate_080_mean,selection_rate_080_std,selective_risk_080_mean,selective_risk_080_std,marginal_coverage_090_mean,marginal_coverage_090_std,marginal_avg_set_size_090_mean,marginal_avg_set_size_090_std,marginal_worst_class_coverage_090_mean,marginal_worst_class_coverage_090_std,lc_coverage_090_mean,lc_coverage_090_std,lc_avg_set_size_090_mean,lc_avg_set_size_090_std,lc_worst_class_coverage_090_mean,lc_worst_class_coverage_090_std
ACS,unadjusted_reported_income_50000,logistic_regression,id_test,0.35622530997097845,0.002228596109917388,0.8833398341568023,0.0023123757753501974,0.13154145986545013,0.001444050108194098,0.40846954013340453,0.0036101674168761743,0.01264024001833639,0.0029570789505562523,0.8001361011879384,0.0060397347220064014,0.13084863907754635,0.00352027102340968,0.9008656495242476,0.004129550920123211,1.2168066644247255,0.010267689481284467,0.8362333785147079,0.007209571393350723,0.9027181098049122,0.002554733920117032,1.231373614451553,0.007961279674399397,0.8824574176129966,0.0070061277316423335
ACS,unadjusted_reported_income_50000,logistic_regression,ood_test,0.4794467624304473,0.0,0.8725520200410634,0.00026835563962294176,0.15771035575456233,0.0005350383451295974,0.48333940316652135,0.001992343925974253,0.09926723175932957,0.0015911773505615674,0.7897517942737029,0.0070140799681326915,0.17383178684797468,0.0022407493123894366,0.8691252766444159,0.00418849293852291,1.2279517104286115,0.011411656862312172,0.7838565138193657,0.006788081454242614,0.8851947022805341,0.003770267708453734,1.2405917017865407,0.009069899548259314,0.8378414485788162,0.007446147160013316
HeartDisease,Cleveland,lightgbm,id_test,0.6129032258064516,0.0,0.8869883040935672,0.026789283057413855,0.12278442092143742,0.016773687744941503,0.40395110505100523,0.04070698573694382,0.11270198355910059,0.02639504211310586,0.8344086021505376,0.04814088427349337,0.12192183776652801,0.025494712031473122,0.9182795698924732,0.02594546390086576,1.256989247311828,0.14536690601587385,0.8485380116959064,0.0674531540629398,0.9451612903225806,0.02703659091848907,1.50752688172043,0.12720732576937976,0.9317251461988304,0.030457504867680212
HeartDisease,Cleveland,lightgbm,ood_test,0.45874587458745875,0.0,0.8385264958764695,0.009199591409890384,0.1739332297999183,0.012604757524254304,0.5236039227621027,0.03194319334191717,0.10206339720114421,0.03225790068790459,0.691089108910891,0.04935069476572605,0.1768986879739613,0.027932648747589255,0.9,0.055966306061420175,1.4171617161716172,0.18796885408146222,0.8710387787331111,0.07222419319065941,0.9369636963696368,0.03699544186595348,1.5511551155115513,0.12919620027197545,0.8741007194244604,0.07831489588876706
HeartDisease,Cleveland,logistic_regression,id_test,0.6129032258064516,0.0,0.8941520467836257,0.02548421808066933,0.12070012910921409,0.013201504975820552,0.39784207373029645,0.042893117766636055,0.11143209590439689,0.018928236609994122,0.8032258064516128,0.05389470236941072,0.10708122249741363,0.03651603202074947,0.9225806451612903,0.03919777237130414,1.260215053763441,0.1251712255927705,0.8665204678362572,0.056794477100745,0.9365591397849462,0.04820755219668796,1.4344086021505376,0.1962639708518721,0.9171052631578946,0.04907313037840892
HeartDisease,Cleveland,logistic_regression,ood_test,0.4587458745874587,0.0,0.7509957887348657,0.14070704869471112,0.23004310083527585,0.0893849466632526,0.7624119271319996,0.3100919380592619,0.17599532695370262,0.11102062249744542,0.7623762376237624,0.10797903397308588,0.27477048673593263,0.13535255785022748,0.8135313531353136,0.12632836819865037,1.3072607260726072,0.16098823616421334,0.7176083523425162,0.21397630545737867,0.8287128712871287,0.12229987858738002,1.3762376237623761,0.19730343468825243,0.6973328654149851,0.20069834111211746
HeartDisease,Hungary,lightgbm,id_test,0.6526315789473685,0.0,0.8803030303030303,0.022315157179219145,0.12749754988046508,0.01219871968937223,0.41381613013756774,0.037064305327884337,0.11269742947130842,0.025714561112021705,0.8021052631578947,0.05824984131774638,0.11360210711245203,0.025663617740843376,0.9115789473684212,0.04471447669354104,1.231578947368421,0.08580364393429811,0.8303030303030303,0.07311903462971257,0.9073684210526316,0.026629706611944238,1.3410526315789473,0.1278849898819995,0.8635874877810362,0.04776096187538161
HeartDisease,Hungary,lightgbm,ood_test,0.36054421768707484,0.0,0.8756799478121235,0.013050809541324544,0.15238234926096444,0.011152274657219052,0.47103489801970805,0.028643992702245557,0.12290989278758488,0.045384106001651506,0.7408163265306122,0.08588089244127137,0.1472279429251721,0.030562159032456446,0.9098639455782314,0.03298715765527478,1.3316326530612244,0.14967918861012325,0.8917503010839021,0.03914214246267661,0.9231292517006804,0.016523752110872245,1.3302721088435374,0.08319940801797743,0.8333600963468486,0.06778765438424438
HeartDisease,Hungary,logistic_regression,id_test,0.6526315789473685,0.0,0.873069403714565,0.026669133835654026,0.12963925660986958,0.015043196645349493,0.4177571091301912,0.04834059726629379,0.1055587933670216,0.031130502630822458,0.7736842105263158,0.06826342616962708,0.11876512870628822,0.03364533777270251,0.9105263157894736,0.029461150217099417,1.2442105263157894,0.06560559097555221,0.8181818181818181,0.07692700106933247,0.9105263157894736,0.034468215270857035,1.3789473684210527,0.13894027981209353,0.8760997067448681,0.05912530891986456
HeartDisease,Hungary,logistic_regression,ood_test,0.3605442176870748,0.0,0.8741368928141309,0.009137374519997766,0.1434502486145597,0.01071369595256734,0.4502112901802981,0.02672978062432814,0.11067850887800704,0.03550703704204923,0.7316326530612245,0.0889347202407032,0.12791990915490506,0.02286206823866357,0.9156462585034013,0.022550675538234623,1.3200680272108845,0.13345446623985913,0.8829586511441189,0.04078755917859806,0.9272108843537415,0.023521637151727753,1.360544217687075,0.13220168568842092,0.8150943396226416,0.06673782840192362
