cohort_repeat,seed,target_definition,model,mapping,domain,n,weight_sum,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,calibration_fit_iterations,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
2,20268734,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7951971.0,0.5134161077800712,0.8696654933060803,0.8638937332382265,0.7202820131574444,0.16109807705783386,0.49212354928060703,0.10758829697297874,0.7192702514825458,0.9495587168154734,11,0.0652391715211235,0.025873459548582358,0.009679235500230069,0.1173866898652329,0.08759956352947613
2,20268734,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1583332.0,0.390331276068443,0.8849058714281444,0.8199275518682532,0.7046388619535578,0.1336144756043312,0.41530570016962387,0.017906404341596568,0.009132643728304265,1.0547359071158742,10,0.04495582733122302,0.013220853238613254,0.00370863470200817,0.07739840638585249,0.058570588446517
2,20268734,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7951971.0,0.3981417940281724,0.8726706390198989,0.805300146489287,0.6765021203020256,0.1414296143864059,0.43676948047741454,0.008762124687811911,-0.05879143692312693,0.9879885038959672,7,0.046286889124721405,0.01567397567219498,0.00558050324881718,0.08821994723573308,0.0658008565652099
3,20269237,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1587636.0,0.359560377819601,0.8823362552724641,0.803681979821689,0.6934636562460963,0.13231162341777222,0.4104250725330713,0.008802663663118307,0.028542106523718754,0.9732929428495084,7,0.047924083354118956,0.016524568603886534,0.006376776540718401,0.07483539006286341,0.05472384810051345
3,20269237,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7997238.0,0.4818688652257192,0.871908812343195,0.8526990120715177,0.7157071288668019,0.16169122230164498,0.4949231260977776,0.11112962272105499,0.7426340881289238,0.902277524967766,11,0.07434266680571468,0.03225476095622014,0.012674876000939325,0.11413923745621596,0.08406516836412811
3,20269237,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1587636.0,0.388719454585308,0.8813859480665056,0.8189057076990967,0.703746023557728,0.13565936634272402,0.42005603466353636,0.012998011517695533,0.05479271471566806,0.9784725726219012,8,0.047690402585983185,0.017092708908087246,0.005765175392848235,0.07948265998467806,0.058969942624053834
3,20269237,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7997238.0,0.5111159627861519,0.8709246040003621,0.865053454024526,0.723970234854599,0.1630792312812277,0.4985292600926292,0.11436236270855636,0.7645982674129961,0.9033040908970602,11,0.07397503988251944,0.03045101321231155,0.011260762778349226,0.1176785957161004,0.08694583971854282
3,20269237,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1587636.0,0.388719454585308,0.8813859480665056,0.8189057076990967,0.703746023557728,0.13565936634272402,0.42005603466353636,0.012998011517695533,0.05479271471566806,0.9784725726219012,8,0.047690402585983185,0.017092708908087246,0.005765175392848235,0.07948265998467806,0.058969942624053834
3,20269237,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7997238.0,0.3967488525413399,0.8739915871416088,0.8067759770659129,0.6796955567377043,0.14058621002540447,0.43470772934887747,0.009706765197231416,-0.01252153951144558,0.9347189016187873,7,0.05146826942001726,0.01906895855794213,0.00633506218021772,0.08685281328660886,0.06486380970080859
4,20269740,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1587548.0,0.3577422540924747,0.8808546368531212,0.8021223738477523,0.6919030912229139,0.13255143492583643,0.4121059274137829,0.008286013148804552,0.026124868157196373,0.9794945125250851,7,0.04856042148016942,0.017336168733165864,0.005398261973811186,0.0758899610411227,0.05662481400939719
4,20269740,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7963968.0,0.4788842697509583,0.8717749698146636,0.8491625952660625,0.7105491237774532,0.15804420059144647,0.48440630868338996,0.09891893269413296,0.6560885241026281,0.9163448202529371,11,0.0683070298625007,0.028883591697003302,0.01117495700635663,0.11046711898299393,0.08198052106680793
4,20269740,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1587548.0,0.3844110540279727,0.8794568090052322,0.8160703796886297,0.7012135752032687,0.1360961655624231,0.421829042669287,0.009216537565568422,0.027501067982885544,0.9790986135988546,7,0.04723573712416884,0.017961031729434324,0.005211181016259036,0.08050550194059433,0.0601657850782117
4,20269740,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7963968.0,0.5092412475790963,0.8713293873348636,0.861653568941855,0.7180968645476322,0.1586660882917797,0.4868565051570129,0.10222455108612287,0.6727430958053233,0.9151698185414227,11,0.0680665718395654,0.028059756141662045,0.010704839597547353,0.11333015860055634,0.08483301227735987
4,20269740,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1587548.0,0.3844110540279727,0.8794568090052322,0.8160703796886297,0.7012135752032687,0.1360961655624231,0.421829042669287,0.009216537565568422,0.027501067982885544,0.9790986135988546,7,0.04723573712416884,0.017961031729434324,0.005211181016259036,0.08050550194059433,0.0601657850782117
4,20269740,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7963968.0,0.39643843370540915,0.8743054323086898,0.8044037761376744,0.6759299551441991,0.14048991507626127,0.4349005208422714,0.01325620249070206,-0.09602191600701804,0.9485345066528017,7,0.04971880851354501,0.018601029034772617,0.006286313556257383,0.08733963329037647,0.06524424851474508
