repeat,metric,clean,targeted,random_mean,random_sd,random_min,random_q05,random_median,random_q95,random_max,targeted_minus_random_median,targeted_severity_percentile_among_random
2,excess_aurc,0.07812181784150415,0.1731614278018841,0.09711537157529941,0.021119988139801288,0.07769509755672,0.07854432312615739,0.09269563847861995,0.11897789061643368,0.1731614278018841,0.08046578932326415,1.0
3,auroc,0.8091005291005291,0.6988359788359788,0.7883068783068784,0.022751581795394694,0.7284656084656085,0.7497777777777779,0.7947089947089947,0.8119153439153439,0.8131216931216931,-0.09587301587301589,1.0
3,average_precision,0.6437561077343823,0.4713695964486073,0.6252976032277114,0.04590702536410785,0.4892552946807076,0.5711006544136716,0.6303245508289547,0.6793365409300541,0.6872803154765537,-0.15895495438034735,1.0
3,brier,0.15871104039313955,0.1954644189936847,0.16832584050693705,0.01204756095604051,0.15729163761300877,0.1580616630881759,0.16388158180114326,0.1942005571448381,0.19554502659123987,0.03158283719254143,0.95
3,log_loss,0.4819966719361257,0.570894519615498,0.5062777828287855,0.028304502452848226,0.4790321336947687,0.48192026374503044,0.4967845618877538,0.5690055708002675,0.5693437025244401,0.0741099577277442,1.0
3,ece,0.05647429615938288,0.08146843404623376,0.09239183669065097,0.01693140755784986,0.06645707976178895,0.06666381945299972,0.09211432566517758,0.1157390743123117,0.12680488089466982,-0.010645891618943817,0.3
3,hcep_090,0.0,0.0,0.003333333333333333,0.0040465131911125605,0.0,0.0,0.0,0.007000000000000005,0.013333333333333334,0.0,0.55
3,aurc,0.10948720483311397,0.16310062631490807,0.12172678392271141,0.014187566160226997,0.10324606156406294,0.1037752832394966,0.11784136975664547,0.1520151630034647,0.1537273582865188,0.0452592565582626,1.0
3,excess_aurc,0.07986162328287895,0.1151218980749194,0.08701083369824036,0.008925784980533386,0.07591994170904208,0.07699138926747878,0.0850164004879645,0.10577267548256204,0.10622953876716842,0.03010549758695491,1.0
4,auroc,0.8067724867724868,0.7216931216931217,0.7809312169312169,0.03225990117714824,0.6871957671957671,0.7372592592592593,0.7877248677248677,0.8171216931216931,0.8207407407407409,-0.066031746031746,0.95
4,average_precision,0.6604473173812622,0.5598262880098908,0.6216756898197293,0.04223233478142469,0.48877104010974004,0.5849387705268047,0.6177021230507078,0.6859753256524854,0.6871055757823092,-0.05787583504081706,0.95
4,brier,0.15397673747015397,0.19320302029463174,0.16977905667404763,0.016742554076787184,0.14875258127143415,0.1497007726631453,0.1638660556864725,0.19562590243445283,0.20750262182700194,0.02933696460815924,0.9
4,log_loss,0.47061350891226067,0.5856626226309755,0.5168107131952583,0.05083871317921798,0.4576106317988166,0.4599627989573793,0.498724327005681,0.5988037894389606,0.6261312113348112,0.08693829562529448,0.85
4,ece,0.0670229325632411,0.12308115675370146,0.10161315813671505,0.028631868332274532,0.0648561022414706,0.06567135616326292,0.10019539479624723,0.14631727496368807,0.15590704901047936,0.02288576195745423,0.8
4,hcep_090,0.013333333333333334,0.04666666666666667,0.031000000000000007,0.023819496658255217,0.006666666666666667,0.006666666666666667,0.023333333333333334,0.07333333333333333,0.07333333333333333,0.023333333333333334,0.75
4,aurc,0.1081528689244505,0.17715160860545284,0.12994804673237917,0.023852093743327765,0.09948674650415493,0.10197068683711401,0.12332676343523843,0.16764887360423555,0.186873241037684,0.05382484517021441,0.95
4,excess_aurc,0.08812923640988528,0.13367701415932556,0.09969209591025632,0.017320042848808864,0.07910251289596591,0.07944508393490851,0.0958251714650123,0.12992896844336668,0.13889451279769532,0.03785184269431327,0.95
5,auroc,0.815026455026455,0.7189417989417989,0.7923174603174603,0.031005650263134205,0.7276190476190476,0.732042328042328,0.7953439153439155,0.8298624338624339,0.8342857142857144,-0.07640211640211658,1.0
