heldout_site,mapping,missing_indicators,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,platt,True,ood_test,calibration_slope,10,0.6875894317171721,0.3230984885099402,-0.0432368558791776,0.535606566051571,0.7456014311714901,0.8954102239973496,1.1225300660538904
Cleveland,platt,True,ood_test,hcep_090,10,0.10066006600660067,0.0897281179258651,0.026402640264026403,0.04702970297029703,0.06930693069306931,0.11716171617161716,0.3333333333333333
Cleveland,platt,True,ood_test,aurc,10,0.20292602998266224,0.11595664337646232,0.10108316180972737,0.13929660782206574,0.17127670929332367,0.22447259391268048,0.4984124091705541
Cleveland,platt,True,ood_test,excess_aurc,10,0.1404299396184191,0.06308665215159065,0.07930274562717946,0.09857008741827773,0.12453071228932265,0.169012782742266,0.28770699876861894
Cleveland,raw,False,id_test,prevalence,10,0.6129032258064517,1.1702778228589004e-16,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
Cleveland,raw,False,id_test,auroc,10,0.8941520467836257,0.025484218080669356,0.8625730994152045,0.8730506822612085,0.8898635477582846,0.9142300194931774,0.9376218323586745
Cleveland,raw,False,id_test,average_precision,10,0.9133222799062686,0.031233347281954583,0.8654764860484321,0.8924541126874752,0.9207852143046356,0.9311025660917853,0.9578735975256529
Cleveland,raw,False,id_test,pr_skill,10,0.7760825564245275,0.08068614714504933,0.6524809222917829,0.7221731244426441,0.7953618036203085,0.8220149624037789,0.8911734602746034
Cleveland,raw,False,id_test,brier,10,0.11987988004906647,0.013332921054444065,0.09795664626713664,0.10919160503346469,0.12095004758325306,0.1308017880977725,0.1366719420611014
Cleveland,raw,False,id_test,log_loss,10,0.39079401484424425,0.039727305136223835,0.3249231108933386,0.3575255095983038,0.3964585753842476,0.41855472682070294,0.43802920709944343
Cleveland,raw,False,id_test,ece,10,0.1085530724893918,0.01404955846484783,0.08006206783722314,0.10383807777002405,0.11068344390664323,0.11627577454167044,0.12588007952397406
Cleveland,raw,False,id_test,calibration_intercept,10,0.07939270874566291,0.2166370626945208,-0.4148600986725284,0.039586340218808566,0.09576749894448386,0.15681040114686887,0.38894758822708064
Cleveland,raw,False,id_test,calibration_slope,10,1.0604823933266072,0.19311801069212625,0.8697635664945147,0.918924511188079,0.9926162760730122,1.1709037762930645,1.4059306914422194
Cleveland,raw,False,id_test,hcep_090,10,0.022580645161290325,0.012873322577826505,0.0,0.013440860215053765,0.021505376344086023,0.03225806451612903,0.043010752688172046
Cleveland,raw,False,id_test,aurc,10,0.07739540547072545,0.0266264508547023,0.03836051728536162,0.056342757309367,0.07915458684030942,0.09507558756150163,0.1156312447653307
Cleveland,raw,False,id_test,excess_aurc,10,0.06336681893100257,0.025879285416857488,0.028103523044865127,0.0425770456899571,0.061045702633672615,0.07826473898471199,0.10507202596064268
Cleveland,raw,False,ood_test,prevalence,10,0.45874587458745875,0.0,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875
Cleveland,raw,False,ood_test,auroc,10,0.7509957887348657,0.14070704869471112,0.5232496929285839,0.6163800666783646,0.8191788032988243,0.8637589928057554,0.868880505351816
Cleveland,raw,False,ood_test,average_precision,10,0.7357068450143,0.13538141117933672,0.5487658890123059,0.5941394902325441,0.7915624064648599,0.85121183633571,0.8548788437728725
Cleveland,raw,False,ood_test,pr_skill,10,0.5117022807276395,0.2501254121179209,0.166317465675175,0.25014796061256633,0.6148988363344666,0.7251047951812202,0.7318798150193925
Cleveland,raw,False,ood_test,brier,10,0.22712392311414636,0.08905703868072266,0.149829961970455,0.15831684839314442,0.19723696012234537,0.2781643923136932,0.4228503185095038
Cleveland,raw,False,ood_test,log_loss,10,0.7390747017320354,0.3014386035335883,0.47636826643663754,0.5092790808088404,0.6281104087288892,0.8894925832681069,1.3818022874343434
Cleveland,raw,False,ood_test,ece,10,0.1747958043437994,0.10424232472217317,0.0825072419773792,0.10248389618126547,0.14117296075713118,0.21662896908707785,0.4230294825779807
Cleveland,raw,False,ood_test,calibration_intercept,10,-0.019270715380148063,0.47611742213245434,-0.89494908854391,-0.21051078696408035,-0.07368880288866718,0.09432408806543936,0.9499835392018964
