target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,log_loss,10,0.4239866710367678,0.0034649316699257087,0.4182957833942331,0.4219838260819452,0.42275480208321914,0.427166353692486,0.42887549656647633
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,ece,10,0.01149638426321935,0.003010233730240043,0.008066719897602031,0.009365832120263286,0.011456363380228558,0.012213220092770692,0.01866122848283086
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,calibration_intercept,10,-0.032573900726119556,0.015008274920131797,-0.05256487672254571,-0.044546117862868315,-0.031669691022509175,-0.02145746890112901,-0.007582646073532452
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,calibration_slope,10,1.0091108897744783,0.04748260595726109,0.9363706700220822,0.9836444225652591,0.9986362677061387,1.0256605234271539,1.1107205988305844
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,hcep_080,10,0.04565999999999999,0.003830540045089862,0.0378,0.04396666666666667,0.04633333333333334,0.04845,0.0508
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,hcep_090,10,0.014906666666666669,0.0023175551187393714,0.010533333333333334,0.014100000000000001,0.015233333333333335,0.015733333333333335,0.0194
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,hcep_095,10,0.0047933333333333335,0.0008649270289637727,0.0034666666666666665,0.0044,0.0048000000000000004,0.005166666666666667,0.006666666666666667
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,aurc,10,0.08148052027000344,0.0018745439162830663,0.07819356793988122,0.08046545858284282,0.08089048342361438,0.08297083898781163,0.08428582574661173
survey_year_adjusted_50000,logistic_regression,platt,id_test,unweighted,excess_aurc,10,0.06070604425073388,0.0014623509984722596,0.058196966837525774,0.059851927496257215,0.060597160156893703,0.0615215525277506,0.06317083797519074
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,prevalence,10,0.5095089660859984,0.0,0.5095089660859984,0.5095089660859984,0.5095089660859984,0.5095089660859984,0.5095089660859984
