mapping,scenario_family,metric,n_repeats,mean,sd,min,q25,median,q75,max
platt,label_independent_measurement_corruption,average_precision,20,0.5282230278801211,0.06748689164398469,0.3381434771421967,0.49737827986345473,0.5307527388074239,0.5841320960316269,0.6261158137219124
platt,label_independent_measurement_corruption,brier,20,0.19067290777958737,0.018616780082215196,0.16443650165419665,0.1766524397238519,0.18926335236234085,0.19463342444778708,0.24508626221786983
platt,label_independent_measurement_corruption,log_loss,20,0.5755737427180458,0.059066580952501634,0.5020261085348846,0.5289687863807251,0.5621749350424489,0.6014084083729091,0.7331147463888821
platt,label_independent_measurement_corruption,ece,20,0.10491872619456641,0.03264044357049713,0.05545582056808995,0.0856198080743691,0.0965911850731343,0.12376948345222483,0.16969345456533313
platt,label_independent_measurement_corruption,hcep_090,20,0.027666666666666673,0.02570866920932742,0.0,0.006666666666666667,0.02,0.03333333333333333,0.08666666666666667
platt,label_independent_measurement_corruption,aurc,20,0.17234660965527296,0.03371492801404504,0.1276897100539695,0.14620860687334042,0.16799225229123763,0.18258699734773146,0.262967942226756
platt,label_independent_measurement_corruption,excess_aurc,20,0.1281923102206326,0.02685817125371005,0.0944049344478067,0.1089081443312017,0.12340720072063253,0.14209263076391815,0.20261756559184566
platt,label_informed_oracle,auroc,20,0.6934391534391533,0.05772091254440718,0.5652910052910053,0.6731216931216932,0.7028571428571428,0.7180952380952381,0.7817989417989417
platt,label_informed_oracle,average_precision,20,0.5153933557208319,0.06963947418533242,0.3654407745518516,0.47910450802949023,0.5231514953396221,0.5696640219320013,0.6362237844919568
platt,label_informed_oracle,brier,20,0.19396148473191546,0.017649705414704533,0.16816212887013682,0.1837897351410932,0.19087206975349374,0.1981935002563302,0.2378448026954743
platt,label_informed_oracle,log_loss,20,0.5781194612910155,0.04961063982084937,0.5030354487730152,0.5515037551763888,0.5697582648131609,0.5837324214853891,0.698772172568354
platt,label_informed_oracle,ece,20,0.11372626202842528,0.030006476933918873,0.051580029780704695,0.09404151634344315,0.11377449892695111,0.13563215114700575,0.16757675598955557
platt,label_informed_oracle,hcep_090,20,0.022,0.01899214980948615,0.0,0.006666666666666667,0.016666666666666666,0.03333333333333333,0.06666666666666667
platt,label_informed_oracle,aurc,20,0.18692199786638403,0.03765924612008776,0.12034377079963385,0.16450638594063216,0.18921649668963786,0.19935489732815687,0.2696661897125705
platt,label_informed_oracle,excess_aurc,20,0.140748317549823,0.030114154565139536,0.08891783198751682,0.12325197787453288,0.14066373257100753,0.15446018900235498,0.20931581307766015
platt,none,auroc,20,0.7837142857142857,0.048421809892902255,0.6486772486772486,0.7624867724867724,0.8043386243386244,0.814074074074074,0.8518518518518519
platt,none,average_precision,20,0.6255457472948958,0.07080582308710338,0.43883596764277044,0.5655998536074544,0.6509098463588683,0.6824798441745812,0.7072883119688597
