repeat,target_definition,marginal_coverage,marginal_worst_class_coverage,marginal_avg_set_size,marginal_singleton_rate,marginal_ambiguous_rate,marginal_empty_rate,label_conditional_coverage,label_conditional_worst_class_coverage,label_conditional_avg_set_size,label_conditional_singleton_rate,label_conditional_ambiguous_rate,label_conditional_empty_rate,domain_family,condition_id,delta_coverage,delta_worst_class_coverage,delta_avg_set_size,delta_singleton_rate,delta_ambiguous_rate,delta_empty_rate,analysis_id,horizon_day,scenario,heldout_site
8,,0.8993020937188435,0.7538461538461538,1.485543369890329,0.514456630109671,0.485543369890329,0.0,0.9302093718843468,0.8892307692307693,1.6281156530408774,0.3718843469591226,0.6281156530408774,0.0,OULAD,EEE-J|14,0.030907278165503316,0.13538461538461544,0.14257228315054826,-0.14257228315054843,0.14257228315054837,0.0,EEE-J,14.0,,
9,,0.8564307078763709,0.6615384615384615,1.3419740777667,0.6580259222333001,0.3419740777666999,0.0,0.8454636091724825,0.7476923076923077,1.3429710867397806,0.6570289132602194,0.3429710867397806,0.0,OULAD,EEE-J|14,-0.010967098703888345,0.08615384615384614,0.0009970089730806375,-0.0009970089730807485,0.000997008973080693,0.0,EEE-J,14.0,,
0,,0.8939873417721519,0.8769968051118211,1.5379746835443038,0.4620253164556962,0.5379746835443038,0.0,0.9200949367088608,0.9090909090909092,1.6052215189873418,0.3947784810126582,0.6052215189873418,0.0,OULAD,FFF-B|14,0.02610759493670889,0.03209410397908807,0.067246835443038,-0.067246835443038,0.067246835443038,0.0,FFF-B,14.0,,
1,,0.8734177215189873,0.8322683706070287,1.4501582278481011,0.5498417721518988,0.4501582278481013,0.0,0.879746835443038,0.8514376996805112,1.4715189873417722,0.5284810126582279,0.4715189873417721,0.0,OULAD,FFF-B|14,0.006329113924050667,0.019169329073482455,0.02136075949367111,-0.02136075949367089,0.021360759493670833,0.0,FFF-B,14.0,,
2,,0.9066455696202532,0.8929712460063898,1.576740506329114,0.423259493670886,0.5767405063291139,0.0,0.8876582278481012,0.8401253918495298,1.5284810126582278,0.4715189873417721,0.5284810126582279,0.0,OULAD,FFF-B|14,-0.018987341772152,-0.05284585415685994,-0.04825949367088622,0.04825949367088611,-0.048259493670886,0.0,FFF-B,14.0,,
3,,0.9082278481012658,0.9009584664536742,1.5854430379746836,0.4145569620253164,0.5854430379746836,0.0,0.9066455696202532,0.8824451410658307,1.5696202531645569,0.430379746835443,0.569620253164557,0.0,OULAD,FFF-B|14,-0.0015822784810125556,-0.01851332538784345,-0.015822784810126667,0.01582278481012661,-0.015822784810126556,0.0,FFF-B,14.0,,
4,,0.9200949367088608,0.902555910543131,1.6313291139240509,0.3686708860759494,0.6313291139240507,0.0,0.9264240506329114,0.8934169278996865,1.6606012658227849,0.3393987341772151,0.6606012658227848,0.0,OULAD,FFF-B|14,0.006329113924050667,-0.009138982643444482,0.029272151898734,-0.029272151898734278,0.02927215189873411,0.0,FFF-B,14.0,,
5,,0.8718354430379747,0.8402555910543131,1.4707278481012658,0.5292721518987342,0.4707278481012658,0.0,0.8900316455696202,0.854632587859425,1.5324367088607596,0.4675632911392405,0.5324367088607594,0.0,OULAD,FFF-B|14,0.018196202531645556,0.014376996805111841,0.06170886075949378,-0.06170886075949372,0.06170886075949367,0.0,FFF-B,14.0,,
6,,0.9074367088607594,0.8769968051118211,1.5664556962025316,0.4335443037974683,0.5664556962025317,0.0,0.9113924050632912,0.854632587859425,1.6028481012658229,0.3971518987341772,0.6028481012658228,0.0,OULAD,FFF-B|14,0.003955696202531778,-0.022364217252396124,0.03639240506329133,-0.036392405063291056,0.03639240506329111,0.0,FFF-B,14.0,,
7,,0.8860759493670886,0.8610223642172524,1.5110759493670889,0.4889240506329114,0.5110759493670886,0.0,0.8710443037974683,0.8510971786833855,1.4746835443037976,0.5253164556962026,0.4746835443037974,0.0,OULAD,FFF-B|14,-0.015031645569620222,-0.009925185533866898,-0.03639240506329133,0.03639240506329117,-0.03639240506329117,0.0,FFF-B,14.0,,
