mapping,scenario_family,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
isotonic,none,label_conditional,0.1,class1_singleton_accuracy,20,0.7706652661064426,0.22823434060077127,0.25,0.6916666666666667,0.8214285714285714,0.96875,1.0
isotonic,none,label_conditional,0.1,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isotonic,none,label_conditional,0.2,coverage,20,0.8466666666666667,0.09653651249974816,0.62,0.8133333333333334,0.8733333333333333,0.915,0.9733333333333334
isotonic,none,label_conditional,0.2,avg_set_size,20,1.3703333333333334,0.18447935271717367,1.0,1.25,1.3833333333333333,1.5066666666666666,1.6133333333333333
isotonic,none,label_conditional,0.2,singleton_rate,20,0.6296666666666666,0.18447935271717367,0.38666666666666666,0.49333333333333335,0.6166666666666667,0.75,1.0
isotonic,none,label_conditional,0.2,singleton_accuracy,20,0.7717861395320271,0.08918916751779177,0.62,0.6960685483870968,0.7787121212121212,0.8246325780771586,0.9310344827586207
isotonic,none,label_conditional,0.2,class0_coverage,20,0.8338095238095239,0.14107408550526113,0.5047619047619047,0.8095238095238095,0.8714285714285714,0.9238095238095239,0.9904761904761905
isotonic,none,label_conditional,0.2,class1_coverage,20,0.8766666666666667,0.07646341393905372,0.7111111111111111,0.8222222222222222,0.8888888888888888,0.9333333333333333,1.0
isotonic,none,label_conditional,0.2,class0_singleton_accuracy,20,0.7489632453952866,0.1765317328190346,0.3448275862068966,0.6954545454545454,0.7688834154351396,0.8946835443037975,0.9791666666666666
isotonic,none,label_conditional,0.2,class1_singleton_accuracy,20,0.7618032847975933,0.18662952105210898,0.2727272727272727,0.6296296296296297,0.8389694041867954,0.8839869281045751,1.0
isotonic,none,label_conditional,0.2,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isotonic,none,marginal,0.05,coverage,20,0.9596666666666666,0.0288147947704095,0.88,0.945,0.9666666666666667,0.98,1.0
isotonic,none,marginal,0.05,avg_set_size,20,1.6553333333333335,0.13347536294994622,1.3933333333333333,1.5533333333333332,1.6600000000000001,1.7233333333333334,1.9333333333333333
isotonic,none,marginal,0.05,singleton_rate,20,0.3446666666666666,0.13347536294994622,0.06666666666666667,0.27666666666666667,0.33999999999999997,0.44666666666666666,0.6066666666666667
isotonic,none,marginal,0.05,singleton_accuracy,20,0.8940246309901511,0.05348390017067861,0.7428571428571429,0.875201694231545,0.8924606845513413,0.9247638326585695,1.0
isotonic,none,marginal,0.05,class0_coverage,20,0.9842857142857143,0.018865039737853105,0.9238095238095239,0.9714285714285714,0.9904761904761905,1.0,1.0
isotonic,none,marginal,0.05,class1_coverage,20,0.9022222222222223,0.07188178874343949,0.7777777777777778,0.8388888888888889,0.9222222222222223,0.9555555555555556,1.0
isotonic,none,marginal,0.05,class0_singleton_accuracy,20,0.9639822661450733,0.039648014702582876,0.8571428571428571,0.9441655359565807,0.9758720930232558,1.0,1.0
isotonic,none,marginal,0.05,class1_singleton_accuracy,19,0.47402407533986485,0.3064422870406399,0.0,0.26136363636363635,0.42857142857142855,0.6458333333333333,1.0
isotonic,none,marginal,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isotonic,none,marginal,0.1,coverage,20,0.9253333333333332,0.03693522067506555,0.8466666666666667,0.91,0.9233333333333333,0.9483333333333334,1.0
isotonic,none,marginal,0.1,avg_set_size,20,1.4836666666666667,0.13671971584871873,1.3,1.4083333333333332,1.4633333333333334,1.5383333333333333,1.9333333333333333
isotonic,none,marginal,0.1,singleton_rate,20,0.5163333333333333,0.13671971584871873,0.06666666666666667,0.46166666666666667,0.5366666666666666,0.5916666666666667,0.7
isotonic,none,marginal,0.1,singleton_accuracy,20,0.8640290980610834,0.059753349916939875,0.7428571428571429,0.8403191489361702,0.8606701940035273,0.9025925925925926,1.0
