horizon_day,repeat,domain,conformal_method,aggregation,coverage,avg_set_size,singleton_rate,class0_coverage,class1_coverage,class0_avg_set_size,class1_avg_set_size,class0_singleton_accuracy,class1_singleton_accuracy
14,8,id_test,marginal,size_weighted,0.8949683378845561,1.5203225281812747,0.4796774718187252,0.9325671508297168,0.8336934151274766,1.5211109730881214,1.526402378380221,0.8616937016874808,0.6083941901182529
14,8,ood_test,label_conditional,equal_pair,0.8937911047812686,1.6125179600480646,0.3874820399519356,0.9388410218884267,0.8339245085749728,1.5931312240919904,1.6386646848365074,0.7512888847595464,0.5828713508357588
14,8,ood_test,label_conditional,size_weighted,0.8850399695470118,1.5649029311001141,0.4350970688998858,0.9378473663013405,0.8092419895532038,1.5401133648406529,1.6004169543920452,0.8291616533245418,0.5559658473624102
14,8,ood_test,marginal,equal_pair,0.8885518445931826,1.5627638910467252,0.43723610895327475,0.9486012040690631,0.7867445781336365,1.5312094548547213,1.6147534979014804,0.8951446912744166,0.39398000911340014
14,8,ood_test,marginal,size_weighted,0.8775218880852683,1.5182717929196803,0.48172820708031977,0.9441979020390521,0.7672054752924132,1.4815735142549922,1.5788081564289984,0.8872003618451807,0.4345510735517649
14,9,id_test,label_conditional,equal_pair,0.8871066050103343,1.5776823506429412,0.42231764935705873,0.8929150909767186,0.8571539340248611,1.6039916507126517,1.539122258609774,0.6660595175698473,0.6799130933285888
14,9,id_test,label_conditional,size_weighted,0.894420303639363,1.579171683343541,0.42082831665645887,0.8889099008653688,0.8921326732871524,1.6009370477287903,1.558275781445699,0.6757345459743342,0.7376290212376255
14,9,id_test,marginal,equal_pair,0.8951998507718516,1.572313608088255,0.42768639191174523,0.9192805180027486,0.8256406891232215,1.593069006717835,1.5544892268422084,0.7966655234174335,0.5520967909716047
14,9,id_test,marginal,size_weighted,0.8976849488076423,1.5609541298024543,0.43904587019754615,0.9109665134704011,0.8607419927576639,1.5745644755156858,1.5557004385587845,0.7793376966875434,0.6416006906926199
14,9,ood_test,label_conditional,equal_pair,0.8925265068115049,1.587176382413418,0.41282361758658204,0.9180169791685251,0.850446627414165,1.5772529861851357,1.6085779458074836,0.7754304906921632,0.5865979295963707
14,9,ood_test,label_conditional,size_weighted,0.8937952036543586,1.5815569090216977,0.41844309097830223,0.9204136928077721,0.8514526000451814,1.5708118305633643,1.6012820550541031,0.7950966435131364,0.6039414545171855
