horizon_day,domain,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,id_test,equal_pair,aurc,10,0.22309922501918894,0.020080292105628287,0.2026093022021329,0.20745913372867722,0.2221732757282841,0.22882838977316788,0.2703628484869233
14,id_test,equal_pair,excess_aurc,10,0.1686118609745732,0.01791410314837441,0.14797723336738886,0.15818613355925454,0.1653111506264158,0.17095459300691188,0.21296352309101632
14,id_test,size_weighted,prevalence,10,0.45722312684905403,5.851389114294502e-17,0.4572231268490541,0.4572231268490541,0.4572231268490541,0.4572231268490541,0.4572231268490541
14,id_test,size_weighted,auroc,10,0.7246445263108827,0.013760158788360418,0.7003445695251711,0.7182674031371601,0.7271607169883711,0.735177391501896,0.741125862057489
14,id_test,size_weighted,average_precision,10,0.6952617790671808,0.0194210488162749,0.6572209550039853,0.6882314024989917,0.6966056488888359,0.7073514415255668,0.720224286225415
14,id_test,size_weighted,pr_skill,10,0.4496537700229732,0.035057757181905,0.3794243712259628,0.4354651232695737,0.45373438019285045,0.47307392195891385,0.4934013494144713
14,id_test,size_weighted,brier,10,0.2050850854804557,0.0036427489475176975,0.20038405156687525,0.20199079022209715,0.20430755123827865,0.2083161845050764,0.2102498555024842
14,id_test,size_weighted,log_loss,10,0.5988009562786023,0.010065138959450097,0.587686876714843,0.5900701942396485,0.5957386283287049,0.6079290629311589,0.6151064136833446
14,id_test,size_weighted,ece,10,0.07964556224927274,0.006149780500918058,0.06824869555495958,0.07755982283133055,0.08020120786359514,0.08285552067658929,0.08902005111497796
14,id_test,size_weighted,calibration_intercept,10,0.09965569120501752,0.37926565874420426,-0.40011974901101394,-0.04238236719838076,0.00783708988545384,0.08863612220093361,1.0244668770363805
14,id_test,size_weighted,calibration_slope,10,1.142791941011514,0.43363879147765805,0.3480238933474526,0.9965266417389698,1.06960341024907,1.2379070284547407,2.047536107862138
14,id_test,size_weighted,hcep_080,10,0.022989793937465773,0.006940759811725534,0.012653999533467205,0.017318793876381966,0.02420690174612769,0.0286051572920151,0.032994097964654495
14,id_test,size_weighted,hcep_090,10,0.004291817364526457,0.003088768640308199,0.0010973360283824348,0.0017895766359106125,0.004129234783838957,0.0057736774933173545,0.011002285314759068
14,id_test,size_weighted,hcep_095,10,0.0008262185887307429,0.0009085147346631634,0.0,0.0001373469816609502,0.0005513691067682456,0.0013766953559357048,0.0027529201972512616
14,id_test,size_weighted,aurc,10,0.22158163480127585,0.016628571028029483,0.2040377333122173,0.2094909136586051,0.21827364941961352,0.2275414808014112,0.2604638961535515
14,id_test,size_weighted,excess_aurc,10,0.16547011850431143,0.014148236351064474,0.1482117639418675,0.15807499415733434,0.16338114930110315,0.1683502338173656,0.2012201662378471
14,ood_test,equal_pair,prevalence,10,0.40187314740586927,0.0,0.40187314740586927,0.40187314740586927,0.40187314740586927,0.40187314740586927,0.40187314740586927
14,ood_test,equal_pair,auroc,10,0.6743750246723711,0.0071728385456544174,0.6584048960212369,0.6736646789474083,0.6754807494922197,0.6797634863960428,0.6813306215634412
14,ood_test,equal_pair,average_precision,10,0.5846857759356926,0.006263537581525368,0.5724208736096159,0.5841215915827893,0.585739465497364,0.587267426207068,0.5925002129586244
14,ood_test,equal_pair,pr_skill,10,0.3163542077920853,0.010659627260783887,0.2933562839696117,0.3154618159578785,0.31742240862707705,0.32109318200157666,0.3294348685667419
14,ood_test,equal_pair,brier,10,0.21299998045818808,0.001954347646888895,0.21009398683846106,0.21178364952605416,0.21271124763946261,0.21362187932774057,0.21685804857006477
14,ood_test,equal_pair,log_loss,10,0.6173040042938955,0.005968365349800739,0.6093714141019348,0.6132366767267792,0.616652536739434,0.6185762096464145,0.629368738253728
14,ood_test,equal_pair,ece,10,0.05426776532636007,0.008867149067598576,0.0433646467103466,0.04664791092194435,0.05402674897920638,0.05876678929768339,0.07192771183566146
14,ood_test,equal_pair,calibration_intercept,10,-0.03681710339315979,0.39928402184605716,-0.6850820728260635,-0.12988919728199372,-0.09103896336070053,0.011020704385786208,0.809449399999373
14,ood_test,equal_pair,calibration_slope,10,0.9360497510135788,0.4117948306005516,0.28994669662618233,0.8341835403219506,0.9240626633536134,1.0478167886615828,1.7322927825718548
14,ood_test,equal_pair,hcep_080,10,0.031631944966893734,0.010064357777965705,0.019695965003940025,0.023295185262698692,0.03088183097591934,0.03595487658952314,0.05110254117303427
