repeat,target_definition,metric,delta_ood_minus_id
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",log_loss,0.0742691649921915
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",ece,0.08395678280318761
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",calibration_intercept,0.7027261938712862
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",calibration_slope,-0.07082932795883956
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",hcep_080,0.021995456029713124
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",hcep_090,0.010541441942405205
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",hcep_095,0.00466379143562222
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",aurc,0.035618000595339996
2,"domain
    unadjusted_reported_income_50000
Name: 8, dtype: object",excess_aurc,0.026181627724434733
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",prevalence,0.013877275700825753
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",auroc,-0.005761020008461681
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",average_precision,-0.003195959078608479
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",pr_skill,-0.012297048933925803
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",brier,0.004517193040625395
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",log_loss,0.01413641611492128
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",ece,0.006208434805381469
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",calibration_intercept,-0.08735245795882168
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",calibration_slope,-0.020596619778008196
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",hcep_080,0.001668694804777389
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",hcep_090,0.0017465989898232497
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",hcep_095,0.0003940695750562209
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",aurc,0.0074865106816197485
3,"domain
    cpi_constant_2018usd
Name: 9, dtype: object",excess_aurc,0.0059257882143938165
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",prevalence,0.1275760207626112
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",auroc,-0.008003711654254952
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",average_precision,0.05484576963777066
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",pr_skill,0.03246509713131318
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",brier,0.021354456112633508
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",log_loss,0.06321975512556771
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",ece,0.08855785506344865
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",calibration_intercept,0.6932332369922878
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",calibration_slope,-0.05477131244817324
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",hcep_080,0.01851635692581314
