target_definition,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,ood_test,calibration_intercept,5,0.6960129106625278,0.045110426219577796,0.6606441692210993,0.6628087693906742,0.6727430958053233,0.7192702514825458,0.7645982674129961
survey_year_adjusted_50000,ood_test,calibration_slope,5,0.9309039113110098,0.02098060208174549,0.9033040908970602,0.9151698185414227,0.9362113976608628,0.9495587168154734,0.9502755326402297
survey_year_adjusted_50000,ood_test,hcep_090,5,0.027215081974201628,0.002088294706865193,0.02525052364395568,0.025873459548582358,0.026440657324496505,0.028059756141662045,0.03045101321231155
survey_year_adjusted_50000,ood_test,aurc,5,0.11390951139636551,0.003523978359962598,0.10993674695834511,0.11121536584159292,0.11333015860055634,0.1173866898652329,0.1176785957161004
unadjusted_reported_income_50000,id_test,prevalence,5,0.3593885165266925,0.0030688453980230327,0.355106025895461,0.3577422540924747,0.359560377819601,0.3621647260334535,0.36236919879247254
unadjusted_reported_income_50000,id_test,auroc,5,0.8837693893661228,0.0024817829386687734,0.8808546368531212,0.8823362552724641,0.8839550632519957,0.8842087209980942,0.8874922704549393
unadjusted_reported_income_50000,id_test,average_precision,5,0.8042156412886479,0.0024805089707845805,0.8017532486151039,0.8021223738477523,0.803681979821689,0.8060779674407808,0.8074426367179133
unadjusted_reported_income_50000,id_test,brier,5,0.1313540322282848,0.0011519253779486913,0.12968800695479493,0.13093377984315696,0.13128531599986346,0.13231162341777222,0.13255143492583643
unadjusted_reported_income_50000,id_test,log_loss,5,0.4084820360378833,0.0030800827940329722,0.4041565913665356,0.4069782461171578,0.4087443427588688,0.4104250725330713,0.4121059274137829
unadjusted_reported_income_50000,id_test,ece,5,0.011539993033592932,0.00326211285682546,0.008286013148804552,0.008802663663118307,0.011284860684328537,0.013096361080399549,0.01623006659131371
unadjusted_reported_income_50000,id_test,calibration_intercept,5,0.004732541238655561,0.04183300385352307,-0.06284758826426645,-0.008140833120911316,0.026124868157196373,0.028542106523718754,0.039984152897540454
unadjusted_reported_income_50000,id_test,calibration_slope,5,1.0094046613641772,0.03576404371478896,0.9732929428495084,0.9794945125250851,1.008536962864674,1.0244139599878537,1.0612849285937636
unadjusted_reported_income_50000,id_test,hcep_090,5,0.015554360318581087,0.0013724303271711292,0.014184643523910336,0.014321632090461818,0.015404788641480888,0.016524568603886534,0.017336168733165864
unadjusted_reported_income_50000,id_test,aurc,5,0.0741722131921585,0.0014076811356684032,0.07217451004701249,0.07349503251255837,0.07446617229723557,0.07483539006286341,0.0758899610411227
unadjusted_reported_income_50000,ood_test,prevalence,5,0.4808612648318447,0.0015091119796066903,0.4788842697509583,0.4797654606175404,0.48124094865345907,0.4818688652257192,0.48254677991154643
unadjusted_reported_income_50000,ood_test,auroc,5,0.8725866095125042,0.001859121176554234,0.8702586443710585,0.8717749698146636,0.871908812343195,0.8744683156356772,0.8745223053979269
unadjusted_reported_income_50000,ood_test,average_precision,5,0.8518626155867036,0.0021048302243408456,0.8491625952660625,0.8506183853682815,0.8521215358505593,0.8526990120715177,0.8547115493770963
unadjusted_reported_income_50000,ood_test,brier,5,0.15880121598071423,0.002581221173587955,0.1556985785735142,0.15733294729425212,0.15804420059144647,0.16123913114271335,0.16169122230164498
unadjusted_reported_income_50000,ood_test,log_loss,5,0.4861491721220467,0.007113470245081409,0.47789655223670646,0.4815862440902718,0.48440630868338996,0.4919336295020879,0.4949231260977776
unadjusted_reported_income_50000,ood_test,ece,5,0.10330068656582991,0.006153202443998408,0.09631804956294261,0.09891893269413296,0.1022445288887047,0.10789229896231427,0.11112962272105499
unadjusted_reported_income_50000,ood_test,calibration_intercept,5,0.6965089776388033,0.03906550061028982,0.6560885241026281,0.6580112439309875,0.7001904456698109,0.7256205863616662,0.7426340881289238
unadjusted_reported_income_50000,ood_test,calibration_slope,5,0.934315256202874,0.02385648129804365,0.902277524967766,0.9163448202529371,0.9441721961995031,0.950930073623743,0.9578516659704207
unadjusted_reported_income_50000,ood_test,hcep_090,5,0.028458308215493344,0.0022754688126720027,0.026709767987355446,0.027195521714050517,0.027247898722837338,0.028883591697003302,0.03225476095622014
unadjusted_reported_income_50000,ood_test,aurc,5,0.11161941398145421,0.0030210419666198613,0.10816315534825689,0.10995247277185914,0.11046711898299393,0.11413923745621596,0.11537508534794508
