target_definition,model,mapping,domain,alpha,conformal_method,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,coverage,10,0.9536266666666666,0.0033299538424117294,0.9497333333333333,0.95195,0.9533666666666667,0.9538833333333333,0.9612
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,avg_set_size,10,1.4291800000000001,0.015760116876172507,1.4074,1.4226833333333333,1.4271,1.4322333333333335,1.4676666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,singleton_rate,10,0.57082,0.015760116876172507,0.5323333333333333,0.5677666666666666,0.5729,0.5773166666666667,0.5926
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,ambiguous_rate,10,0.42918,0.015760116876172504,0.4074,0.42268333333333336,0.42710000000000004,0.43223333333333336,0.4676666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,singleton_accuracy,10,0.918846406007184,0.003853669308286187,0.9137102311741817,0.9165133854084321,0.9183769897405611,0.9190946712963428,0.9271133375078272
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class0_coverage,10,0.9642766167464766,0.005884776869198074,0.9555782776641673,0.9608143548002981,0.9650317359204319,0.9659688035176627,0.9755656108597285
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class1_coverage,10,0.9384157385274701,0.0061106307235066415,0.9271458705176051,0.9354667142227724,0.9386206421169099,0.9412206440703537,0.9493445541349733
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class0_avg_set_size,10,1.36791863721131,0.015542295922295076,1.3441213081362453,1.3574063564131666,1.368997175614489,1.3764405681838787,1.3938328987643125
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class1_avg_set_size,10,1.5166681845405074,0.03134380923817563,1.4762826718296225,1.499594030987584,1.5220516962843296,1.525863752206786,1.5866883116883117
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class0_singleton_accuracy,10,0.943409749245639,0.009900630516823517,0.9287450907050683,0.9376062326271505,0.9453548812695769,0.9478354117755955,0.9602868174296746
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,unweighted,class1_singleton_accuracy,10,0.8719641214425741,0.015751906822616533,0.8548334949886841,0.8604517763164715,0.8687751233014898,0.8826542573457048,0.9028553693358162
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,coverage,10,0.9123392842264646,0.0067984487480902325,0.8997442801957513,0.9096050748764608,0.9119289183673145,0.9172268213573371,0.9230769715360981
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,avg_set_size,10,1.2612062493747271,0.023375413460321775,1.2206620834481696,1.2499128373282478,1.2669592118685267,1.2709920681994231,1.2974752721309781
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,singleton_rate,10,0.7387937506252726,0.023375413460321785,0.7025247278690219,0.7290079318005769,0.7330407881314733,0.7500871626717521,0.7793379165518304
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,ambiguous_rate,10,0.26120624937472725,0.023375413460321803,0.22066208344816957,0.24991283732824787,0.2669592118685267,0.2709920681994231,0.2974752721309782
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,singleton_accuracy,10,0.8814870736405958,0.005714059700032929,0.8713578312116153,0.8787190998205541,0.8810829851900054,0.8852802579167358,0.8905048813054118
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class0_coverage,10,0.9222556301940301,0.006328058499028168,0.9141377058604819,0.9186575672174836,0.9221818599248137,0.9246965098972372,0.9345845191395533
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class1_coverage,10,0.8965132382066938,0.01483014689466868,0.8765441924072672,0.8851476690166197,0.8977123454452535,0.9061614859797658,0.9222281872077571
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class0_avg_set_size,10,1.2351868938436685,0.025302968948251233,1.2004484589820419,1.2154968312816397,1.2364206035538214,1.2517998165360669,1.2781257845398264
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class1_avg_set_size,10,1.3028192118062552,0.02452602564499208,1.2528145728276932,1.2954818014940388,1.3051829501080152,1.3229228084926343,1.3290186604630818
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class0_singleton_accuracy,10,0.8982625280450554,0.008641842126042772,0.8852245473527178,0.8945466407863917,0.8958891908236706,0.9005774989639184,0.9168214134817512
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,survey_weighted,class1_singleton_accuracy,10,0.8518721594419161,0.018109548853393307,0.820937398408458,0.8405005925565125,0.8510675352111934,0.8632765763154424,0.8840924356466939
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,coverage,10,0.9104999999999999,0.006598260152270219,0.8979333333333334,0.9095333333333333,0.9102666666666667,0.9151333333333334,0.9190666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,avg_set_size,10,1.2672000000000003,0.023051675711028487,1.2267333333333332,1.2562166666666668,1.2741666666666667,1.2768,1.3038
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,singleton_rate,10,0.7328000000000001,0.023051675711028456,0.6962,0.7232000000000001,0.7258333333333333,0.7437833333333334,0.7732666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,ambiguous_rate,10,0.2672,0.02305167571102847,0.22673333333333334,0.25621666666666665,0.27416666666666667,0.2768,0.3038
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,singleton_accuracy,10,0.8779953108960832,0.005428976510123913,0.8680058625743599,0.8759846770138757,0.8786599803312902,0.8817566501081333,0.8847998524257517
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class0_coverage,10,0.9084754706028895,0.0071860383953654605,0.8985457850488525,0.9026967674907589,0.9091783041689565,0.910279660467121,0.9200545082898024
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class1_coverage,10,0.913405744429262,0.01231917784060909,0.8942525024216984,0.9054788961038961,0.9135598236954348,0.9227709883123973,0.9323600973236009
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class0_avg_set_size,10,1.2523449628197074,0.026926383451876337,1.2124517155192003,1.2300386318768672,1.2562142842053685,1.2681416664176859,1.2990379173740803
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class1_avg_set_size,10,1.2883861680646533,0.022215087844621936,1.2470151661826396,1.2799170821471244,1.2915300560735057,1.3064535459037694,1.312863606981254
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class0_singleton_accuracy,10,0.8774904506239272,0.009761342058405707,0.864634900990099,0.8713836653158905,0.8744075570522372,0.8803437951060606,0.8965618571848369
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,label_conditional,unweighted,class1_singleton_accuracy,10,0.8784679636458549,0.015706077479666312,0.8483796296296297,0.8709604588685708,0.8777686753177698,0.8895714703121173,0.9018823529411765
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,coverage,10,0.904800583454968,0.00532509217444147,0.8969349705566602,0.903086583491595,0.9034883531843603,0.9061272205401516,0.917024183108658
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,avg_set_size,10,1.2333535971186786,0.014090137607048778,1.216063930479415,1.2236637807743194,1.2310026866212387,1.2369065930383936,1.2649443127746476
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,singleton_rate,10,0.766646402881321,0.014090137607048752,0.7350556872253524,0.7630934069616064,0.7689973133787615,0.7763362192256806,0.7839360695205849
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,ambiguous_rate,10,0.233353597118679,0.014090137607048766,0.21606393047941508,0.22366378077431937,0.23100268662123857,0.2369065930383935,0.26494431277464764
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,singleton_accuracy,10,0.8758922182915161,0.0050375640732837216,0.8685287825748735,0.8735179481382738,0.8750382572054144,0.8764103471480547,0.8871162847476842
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class0_coverage,10,0.9332236083622009,0.008145816395157365,0.9251551255185304,0.9265186416454682,0.9332144556092465,0.9346159391183407,0.9520771395444089
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class1_coverage,10,0.8592798428982892,0.008516965548513288,0.8393474481600709,0.8562920916407208,0.8617747605191748,0.8636241053972831,0.8684686707523246
