target_definition,model,mapping,domain,desired_selection_rate,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.7,survey_weighted,selection_rate,10,0.7047797328434827,0.01832936203577155,0.6829161437809536,0.6883462887294368,0.7032382634688837,0.7197861037451099,0.7331248000302072
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.7,survey_weighted,selective_risk,10,0.1224947132270732,0.004980503762442084,0.11601913910550249,0.11826073328011685,0.1224200846922795,0.12660452008597503,0.1298178437691702
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.7,survey_weighted,selective_accuracy,10,0.8775052867729268,0.004980503762442079,0.8701821562308298,0.873395479914025,0.8775799153077205,0.8817392667198831,0.8839808608944975
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.8,survey_weighted,selection_rate,10,0.8046393116950649,0.014277442591172357,0.7884174245253519,0.7925176883010592,0.8025790054941915,0.8146835622986158,0.8278287434626522
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.8,survey_weighted,selective_risk,10,0.14747720086091998,0.004201010554038341,0.1420097408302288,0.14420389671141376,0.14754668340253854,0.14916149804126744,0.15430937391586189
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.8,survey_weighted,selective_accuracy,10,0.85252279913908,0.004201010554038346,0.8456906260841381,0.8508385019587326,0.8524533165974615,0.8557961032885862,0.8579902591697712
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.9,survey_weighted,selection_rate,10,0.90578626153292,0.009958019974746912,0.8903343463677483,0.8979121622018676,0.9067650960861497,0.9113189060428606,0.9213367753247872
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.9,survey_weighted,selective_risk,10,0.1750410236083804,0.0024513451080912943,0.1715427195571214,0.17338854115539318,0.17525234997231454,0.1760713633306225,0.17950887836059737
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.9,survey_weighted,selective_accuracy,10,0.8249589763916196,0.0024513451080912896,0.8204911216394026,0.8239286366693775,0.8247476500276855,0.8266114588446067,0.8284572804428786
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.95,survey_weighted,selection_rate,10,0.9621400278041626,0.014266258441960153,0.9465040560344272,0.954951674044893,0.960331556949334,0.9629754717474175,0.9987030642217641
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.95,survey_weighted,selective_risk,10,0.19149204342188128,0.004604118988135214,0.18653272871272386,0.18832130975256245,0.19069837787914407,0.1933330420555397,0.20244725960256443
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.95,survey_weighted,selective_accuracy,10,0.8085079565781188,0.004604118988135204,0.7975527403974356,0.8066669579444603,0.809301622120856,0.8116786902474376,0.8134672712872761
cpi_constant_2018usd,logistic_regression,platt,id_test,0.5,survey_weighted,selection_rate,10,0.5010504509457456,0.00895860666934618,0.48668059586527357,0.49601214381687964,0.4998658347857186,0.5088216974904015,0.5132325511299217
cpi_constant_2018usd,logistic_regression,platt,id_test,0.5,survey_weighted,selective_risk,10,0.06930308800853074,0.004336750199687015,0.06138229142926934,0.06706494063251922,0.07012263438761301,0.0714139329350819,0.07710009386718039
cpi_constant_2018usd,logistic_regression,platt,id_test,0.5,survey_weighted,selective_accuracy,10,0.9306969119914692,0.004336750199687021,0.9228999061328196,0.9285860670649182,0.929877365612387,0.9329350593674808,0.9386177085707307
cpi_constant_2018usd,logistic_regression,platt,id_test,0.7,survey_weighted,selection_rate,10,0.7016074464098778,0.00801667891368412,0.6862432585233228,0.6970467152711397,0.7039886978153025,0.7051319418419078,0.7143426261701308
cpi_constant_2018usd,logistic_regression,platt,id_test,0.7,survey_weighted,selective_risk,10,0.11171722305321756,0.0038033321576719154,0.10443997655111051,0.11069879276019931,0.1130356212830515,0.11446945802793795,0.11567410017330526
cpi_constant_2018usd,logistic_regression,platt,id_test,0.7,survey_weighted,selective_accuracy,10,0.8882827769467824,0.003803332157671933,0.8843258998266947,0.885530541972062,0.8869643787169486,0.8893012072398008,0.8955600234488895
