horizon_day,repeat,domain,aggregation,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
14,5,id_test,size_weighted,0.4572231268490541,0.7166719825635426,0.6938770040469009,0.44502123831018137,0.20824569596107897,0.6045368822886389,0.08598806135677034,0.02184583217761822,1.0365952972352042,0.026946208097911914,0.00440017814065512,0.0,0.22825624619708365,0.1689986626147951
14,5,ood_test,equal_pair,0.40187314740586927,0.6733625593463223,0.5851867973310996,0.31581041732491233,0.21685804857006477,0.629368738253728,0.07192771183566146,-0.1041321882301951,0.832625946086587,0.05110254117303427,0.01313937760240985,0.001583126846010367,0.2516418856975279,0.1861598017882531
14,5,ood_test,size_weighted,0.4125428245146555,0.6847810313926453,0.6054015553547324,0.3344610126936951,0.2189501175293442,0.6351585621628946,0.07470414001526632,-0.061603027429616077,0.8598365291244422,0.05395888846593072,0.014845831747240197,0.0019984773505900264,0.251702693304564,0.18462079048192712
14,6,id_test,equal_pair,0.4338974090708609,0.7241235512885446,0.6690308368270577,0.4324574182219011,0.20029340225482611,0.5851428658269856,0.07423703599295951,1.3618257083766112,2.41284386708317,0.010375321678506327,0.0009182736455463728,0.0,0.2026093022021329,0.14797723336738886
14,6,id_test,size_weighted,0.4572231268490541,0.7366154572477628,0.7004642373980043,0.4601611078482519,0.201533912569625,0.587686876714843,0.07770710103802209,0.3909024504975124,1.5190958748113652,0.012653999533467205,0.0010990996416634046,0.0,0.2040377333122173,0.1482117639418675
14,6,ood_test,equal_pair,0.40187314740586927,0.676273992626892,0.5872977415857847,0.3216798482518931,0.21176376734347263,0.6135080573131644,0.04610695480015939,0.3369750063275128,1.3356542184146825,0.021522037376832826,0.0021711636589694266,0.0005637690184798241,0.24791054261262083,0.18456804878319255
14,6,ood_test,size_weighted,0.4125428245146555,0.6909474139553871,0.6099855090929548,0.3437345904948223,0.2130584831764571,0.6163166118192744,0.04846249740418901,0.047874145781643895,1.0623903423965442,0.026741530262657024,0.002569470879330034,0.0005709935287400076,0.24429418880694065,0.17958741558387747
14,7,id_test,equal_pair,0.4338974090708609,0.7107858999090035,0.6650806250331628,0.430255641884687,0.2033862234345339,0.5946953930629889,0.0850498914582643,-0.028566971275937197,1.0073696444692892,0.034846095491749364,0.008044660165872288,0.0006172839506172839,0.21934749380047358,0.166118203625249
14,7,id_test,size_weighted,0.4572231268490541,0.7308631942642956,0.7096471762347543,0.47737819332913445,0.20284522803161045,0.5919524919020328,0.07877894262965102,0.059591735208065155,1.0886589567977893,0.02969212576217787,0.006046985016014496,0.0005506790327923154,0.21271079583088975,0.15835206867837265
14,7,ood_test,equal_pair,0.40187314740586927,0.6813306215634412,0.5916855672829585,0.32864876137978144,0.21242808264960328,0.6162246291156452,0.05496085206100257,-0.07794573849120597,0.9251160374743707,0.03722580868097542,0.00637462748611425,0.0010878526172921007,0.24474630211582568,0.18076461366544994
14,7,ood_test,size_weighted,0.4125428245146555,0.6938219749314364,0.6163349483153016,0.353431318444748,0.21266355865253,0.6162976296428216,0.05011198825338303,-0.042523496532497235,0.9457930676090748,0.03283212790255044,0.005234107346783403,0.00123715264560335,0.24359439778063702,0.17898008774986077
14,8,id_test,equal_pair,0.4338974090708609,0.7056910726951201,0.6478180149802466,0.40162017374949943,0.20325959745271932,0.5942002751140597,0.07098636092957977,-0.5369473548201967,0.6417965612745649,0.01604429159465124,0.002086323705050437,0.0,0.23019279292755407,0.17779169226887748
14,8,id_test,size_weighted,0.4572231268490541,0.7302241578011902,0.696893054100622,0.454739048706959,0.20274610717679614,0.5924842890738257,0.07245500776044993,-0.12180756455018205,1.0505478637003505,0.01704352367431805,0.002197301996682289,0.0,0.21878594718098235,0.1664049474250771
14,8,ood_test,equal_pair,0.40187314740586927,0.6661906459988184,0.575957136774004,0.3051558924619031,0.21171114787664835,0.6130817454954087,0.046224011338742176,-0.6850820728260635,0.4128868504271452,0.019695965003940025,0.002391915024075364,0.00044376102304778263,0.2539939164104449,0.19117378696468454
14,8,ood_test,size_weighted,0.4125428245146555,0.6881850957395258,0.6066408164364573,0.33770321859340274,0.21311650599345286,0.6162762237502837,0.04919061303616207,-0.2027248175909274,0.8392950563769193,0.024457556147696992,0.0029501332318233727,0.0005709935287400076,0.24757075234969386,0.18336571194629056
14,9,id_test,equal_pair,0.4338974090708609,0.6749230857776265,0.6325864617600301,0.3623288021085136,0.2068460890934323,0.6090881603011863,0.09721299173633484,-0.5197708556279914,0.15447565350703585,0.03477005928064941,0.009839040100375413,0.002156001445500854,0.2703628484869233,0.21296352309101632
14,9,id_test,size_weighted,0.4572231268490541,0.7003445695251711,0.6572209550039853,0.3794243712259628,0.20899743096086676,0.6151064136833446,0.08902005111497796,-0.40011974901101394,0.3480238933474526,0.032994097964654495,0.011002285314759068,0.0027529201972512616,0.2604638961535515,0.2012201662378471
14,9,ood_test,equal_pair,0.40187314740586927,0.6584048960212369,0.5724208736096159,0.2933562839696117,0.2118432960737987,0.6131462165313174,0.0433646467103466,-0.40205198744710563,0.28994669662618233,0.02745006918821437,0.004293158468097418,0.001068411207448399,0.2614513915516984,0.19727837214448962
14,9,ood_test,size_weighted,0.4125428245146555,0.677192575663617,0.5987417739178647,0.3228786971783588,0.21274272598016045,0.6155137612794809,0.042212488089490637,-0.29822404317533574,0.4752762249313959,0.030548153787590408,0.005234107346783403,0.00123715264560335,0.25675369436656603,0.1920746659452901
56,0,id_test,equal_pair,0.40438687588844424,0.7456424860863875,0.6948379777152479,0.5046265405040125,0.18755452525967786,0.5550262429238955,0.07793675084076021,-0.02309929470227963,1.0218938514395386,0.03972943984322258,0.005466934418325199,0.0017079806266197494,0.17663191806223572,0.13267887625675445
56,0,id_test,size_weighted,0.42402813776982484,0.7597028118458728,0.728786852900864,0.537773967589256,0.1890895410559458,0.5581476106190931,0.07359542385981016,0.015644413767797412,1.0123154645043433,0.041799776690927486,0.006970042585982601,0.0023235089627163035,0.17449662192033766,0.1298690016805838
56,0,ood_test,equal_pair,0.3792229985160614,0.7394425881279242,0.6650141627982544,0.469802945536389,0.19270737047688125,0.5755342963970418,0.06827387930031513,-0.010332954043887305,1.067225378846707,0.04721304560352911,0.017900501661777632,0.006977428197933975,0.1797596418200216,0.13360699119226632
56,0,ood_test,size_weighted,0.38780150257018586,0.7483900577833854,0.6847553443790343,0.4906556325772237,0.19510683287159317,0.5848202660916476,0.07337869158773569,0.0013624737707370084,1.0012277158075362,0.05782918149466192,0.025998418347172796,0.01018189007512851,0.1785971019863559,0.13127573203430104
56,1,id_test,equal_pair,0.40438687588844424,0.7617855134251801,0.714837765174433,0.5320975221791205,0.18355104413299406,0.5444280881662976,0.07145027539660317,0.17152236961978218,1.2148577758887007,0.039110554632577454,0.0027842344284852057,0.00041305245766212306,0.16574113867945883,0.12340946455966008
