analysis_id,estimand,representation,horizon_day,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
FFF-B,landmark_still_registered,score_free,56,ood_test,hcep_090,10,0.0036243822075782543,0.0017878990220867332,0.0008237232289950577,0.002677100494233937,0.004118616144975288,0.004736408566721581,0.005766062602965404
FFF-B,landmark_still_registered,score_free,56,ood_test,hcep_095,10,0.0013179571663920922,0.0008854758647225205,0.0,0.0008237232289950577,0.0008237232289950577,0.0022652388797364084,0.002471169686985173
FFF-B,landmark_still_registered,score_free,56,ood_test,aurc,10,0.16062600726055393,0.007186597012876658,0.15065309370049645,0.1559318931545094,0.15819467237219953,0.16534824381318308,0.17354107222190096
FFF-B,landmark_still_registered,score_free,56,ood_test,excess_aurc,10,0.11640690308489703,0.004402809676400648,0.11007501558871144,0.11377549334391374,0.11667547972729465,0.1190677571504844,0.12327231504907908
FFF-J,landmark_still_registered,score_free,14,id_test,prevalence,10,0.4533333333333333,0.0,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.4533333333333333
FFF-J,landmark_still_registered,score_free,14,id_test,auroc,10,0.7444045911047346,0.03063884267619366,0.7029680774748924,0.7242310796269726,0.7390378407460545,0.7616907281205166,0.7999461979913918
FFF-J,landmark_still_registered,score_free,14,id_test,average_precision,10,0.7247028991008775,0.038335683854971304,0.6851308948737804,0.7015080606997101,0.7129844927540191,0.7284068733756863,0.8047383825533603
FFF-J,landmark_still_registered,score_free,14,id_test,pr_skill,10,0.49640774225770273,0.0701262509542158,0.4240199296471594,0.4539781598165428,0.4749716330866204,0.5031833049555238,0.6428141144268786
FFF-J,landmark_still_registered,score_free,14,id_test,brier,10,0.20266840800935867,0.010069526197674879,0.1825633975219838,0.2016797812599696,0.20447970416252964,0.20748754949589804,0.21603591104519457
FFF-J,landmark_still_registered,score_free,14,id_test,log_loss,10,0.5924529759536509,0.02244516590057575,0.5464510293540773,0.5940992452588328,0.5988035910075842,0.600087510858825,0.6206590489747642
FFF-J,landmark_still_registered,score_free,14,id_test,ece,10,0.07158109851028499,0.013933861659144542,0.05089626856073832,0.061010996556726274,0.07064251983445877,0.07903064888467051,0.09719696480656637
FFF-J,landmark_still_registered,score_free,14,id_test,calibration_intercept,10,0.03499847874438974,0.11035896270808061,-0.104692180635051,-0.060186543615726534,0.041050267485883626,0.0810022587056044,0.22910536165328388
FFF-J,landmark_still_registered,score_free,14,id_test,calibration_slope,10,1.0744967339599278,0.25831208785237153,0.7593479574531395,0.8958892250715466,1.0361120052342794,1.1657944568698484,1.5407659119225943
FFF-J,landmark_still_registered,score_free,14,id_test,hcep_080,10,0.02466666666666667,0.011021863793455327,0.013333333333333334,0.016666666666666666,0.02,0.035,0.043333333333333335
FFF-J,landmark_still_registered,score_free,14,id_test,hcep_090,10,0.0036666666666666666,0.003668349782048706,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.01
FFF-J,landmark_still_registered,score_free,14,id_test,hcep_095,10,0.0006666666666666668,0.001405456737852613,0.0,0.0,0.0,0.0,0.0033333333333333335
FFF-J,landmark_still_registered,score_free,14,id_test,aurc,10,0.21373577876950156,0.026754307731552084,0.1579458951077985,0.21199971652499738,0.22156649317002114,0.22533402964553487,0.24829432172554733
FFF-J,landmark_still_registered,score_free,14,id_test,excess_aurc,10,0.15953730954544867,0.019420417129317864,0.11446944266721265,0.15465149075462617,0.1673076317527557,0.17188621081132333,0.17539786913977662
FFF-J,landmark_still_registered,score_free,14,ood_test,prevalence,10,0.3927777777777778,0.0,0.3927777777777778,0.3927777777777778,0.3927777777777778,0.3927777777777778,0.3927777777777778
FFF-J,landmark_still_registered,score_free,14,ood_test,auroc,10,0.7332169094572507,0.003974409393150489,0.7262831106009568,0.730583655019534,0.7338521723038858,0.7359624898576643,0.7390530714292184
FFF-J,landmark_still_registered,score_free,14,ood_test,average_precision,10,0.637065349851196,0.006651910195988902,0.6202360822928317,0.6358545086279934,0.6384691941945033,0.6411661174679854,0.6428092574795599
FFF-J,landmark_still_registered,score_free,14,ood_test,pr_skill,10,0.40230341238074346,0.010954655400530665,0.3745882416533367,0.4003093463224045,0.40461532438253056,0.4090567350799392,0.4117627296095222
FFF-J,landmark_still_registered,score_free,14,ood_test,brier,10,0.20136487284320434,0.001209463210850006,0.19954770887646842,0.2006076287204236,0.2011124416264416,0.20235245117587689,0.20305806497871584
FFF-J,landmark_still_registered,score_free,14,ood_test,log_loss,10,0.5892093882010311,0.002247925453327966,0.585941019478827,0.5877211760204428,0.5892377838095932,0.591162475883336,0.5922181443680617
FFF-J,landmark_still_registered,score_free,14,ood_test,ece,10,0.036095476178039695,0.006742860870070531,0.019800883462561862,0.03564438662179362,0.03699169978191345,0.03860899332132956,0.04491344393278738
FFF-J,landmark_still_registered,score_free,14,ood_test,calibration_intercept,10,0.013037851214574028,0.0652583274284829,-0.07990138600507382,-0.043584669973159726,0.013713879922392744,0.05750127534263039,0.12255042324565175
FFF-J,landmark_still_registered,score_free,14,ood_test,calibration_slope,10,1.0843211131364052,0.12150877456126627,0.8991727130499889,1.0280188117099571,1.0862297990259862,1.1965873121306008,1.2262417849767058
FFF-J,landmark_still_registered,score_free,14,ood_test,hcep_080,10,0.025388888888888888,0.011234042180074975,0.013888888888888888,0.016527777777777777,0.02305555555555556,0.030555555555555555,0.04722222222222222
FFF-J,landmark_still_registered,score_free,14,ood_test,hcep_090,10,0.0024444444444444444,0.002417358351419366,0.0005555555555555556,0.0011111111111111111,0.001388888888888889,0.0020833333333333333,0.007222222222222222
FFF-J,landmark_still_registered,score_free,14,ood_test,hcep_095,10,0.00044444444444444447,0.0007314228762270926,0.0,0.0,0.0,0.0008333333333333333,0.0016666666666666668
