repeat,feature_set,auroc,brier,ece,hcep_090,aurc
3,buerge|pers|wohnzeit,0.8118518518518518,0.15729163761300877,0.10565532844577791,0.0,0.10380313701188784
3,buerge|laufkont|telef,0.750899470899471,0.1941297955950275,0.11404822097015747,0.006666666666666667,0.1537273582865188
3,famges|hoehe|pers,0.8046560846560846,0.16328824653243265,0.09549000060026144,0.006666666666666667,0.11800989516561206
3,buerge|sparkont|verm,0.7906878306878307,0.167258482669024,0.09921423043928324,0.0,0.11709917553927071
3,buerge|moral|verw,0.7604232804232804,0.17162169197453106,0.0901760329203138,0.0,0.131395948694345
3,beszeit|laufkont|sparkont,0.7284656084656085,0.1922608319663256,0.08075465250008432,0.0,0.15192504746225133
3,alter|pers|sparkont,0.8052910052910053,0.16274252840334166,0.09318342214465544,0.0,0.11062174082315474
3,alter|buerge|verm,0.7932275132275133,0.16259711984732517,0.07477186746264275,0.0,0.11578550306089234
3,laufzeit|verm|wohnzeit,0.7892063492063492,0.16682399921634508,0.07020991015247804,0.0,0.11767284434767888
4,sparkont|verm|wohn,0.7828571428571429,0.1644925233839615,0.07289820860284855,0.013333333333333334,0.1321055654821925
4,bishkred|rate|verm,0.7987301587301587,0.15827296904789043,0.0648561022414706,0.03333333333333333,0.11200291033000406
4,famges|sparkont|verw,0.7754497354497354,0.16775375768018683,0.11619503552346042,0.02666666666666667,0.1321426901194107
4,alter|telef|weitkred,0.816931216931217,0.14975067747323537,0.07068264749195027,0.006666666666666667,0.1021014205388487
4,bishkred|buerge|moral,0.8025396825396826,0.15590098930033222,0.07615713274638211,0.013333333333333334,0.1117168059534149
4,beszeit|pers|telef,0.8207407407407409,0.14875258127143415,0.0716407003685865,0.013333333333333334,0.09948674650415493
4,famges|moral|rate,0.7911111111111111,0.16622484012800834,0.08718352672981561,0.006666666666666667,0.12343942201415835
4,bishkred|laufkont|weitkred,0.7631746031746032,0.19500081194010813,0.15590704901047936,0.07333333333333333,0.1509740120569253
4,beruf|wohn|wohnzeit,0.8091005291005291,0.15689857497102855,0.07754310917061397,0.013333333333333334,0.11042486445995955
4,famges|pers|wohn,0.815026455026455,0.15433645100494894,0.09969341598997356,0.02,0.10363692748743243
4,laufkont|sparkont|verw,0.6871957671957671,0.20750262182700194,0.1451034148700769,0.07333333333333333,0.186873241037684
4,gastarb|laufkont|telef,0.7398941798941799,0.1875522054137972,0.1141299953245876,0.06,0.161026770442681
4,bishkred|laufkont|moral,0.7411640211640211,0.18864883535101176,0.12198106343313181,0.06,0.16663706479194879
4,rate|verm|verw,0.7843386243386243,0.16323958798898347,0.06571426426440988,0.02666666666666667,0.12706209323180376
4,gastarb|laufzeit|wohnzeit,0.7813756613756614,0.16816132855068744,0.10603126655437257,0.006666666666666667,0.11778003419894692
4,famges|sparkont|weitkred,0.7951322751322751,0.1603003914602984,0.11706684217521608,0.013333333333333334,0.11878417664223878
