domain_family,condition,repeat,seed,model,auroc_id_test,auroc_ood_test,brier_id_test,brier_ood_test,ece_id_test,ece_ood_test,delta_auroc,delta_ece,delta_brier,condition_id
ACS,survey_year_adjusted_50000,5,20260733,lightgbm,0.889069836242693,0.876788769727233,0.130890847655678,0.1566067472908712,0.0121179520039655,0.1039001226697225,-0.012281066515460015,0.091782170665757,0.025715899635193218,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,5,20260733,logistic_regression,0.8852062485265558,0.8720943373027206,0.1329366323531368,0.1588489405779966,0.0134654470367208,0.1029016178269653,-0.01311191122383526,0.0894361707902445,0.025912308224859792,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,6,20260734,lightgbm,0.8907387900372609,0.8769836009219836,0.1298294397602923,0.1566372882473165,0.0123763406041494,0.1047160356802965,-0.013755189115277289,0.0923396950761471,0.026807848487024194,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,6,20260734,logistic_regression,0.8878463885192045,0.8722256102952453,0.1311126630750779,0.1578709048958329,0.015332756888358,0.1009437016866349,-0.015620778223959242,0.0856109447982769,0.02675824182075498,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,7,20260735,lightgbm,0.8880331603059108,0.8773517334341391,0.1315675685376207,0.1558459438564887,0.012152021403106,0.1019613112148097,-0.01068142687177176,0.08980928981170369,0.024278375318868006,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,7,20260735,logistic_regression,0.8849050496173921,0.8728052527583738,0.1330465747901107,0.157109098495102,0.0148590603229153,0.0986341231979637,-0.012099796859018297,0.0837750628750484,0.02406252370499129,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,8,20260736,lightgbm,0.8851891045915227,0.8772224794181888,0.1332751399139445,0.1567351967477492,0.0122098179602074,0.1056080264285309,-0.007966625173333908,0.0933982084683235,0.0234600568338047,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,8,20260736,logistic_regression,0.8797272610638391,0.8721049330802264,0.1363423958569405,0.1591413548504802,0.0102298460212169,0.1050447407600413,-0.007622327983612731,0.0948148947388244,0.022798958993539703,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,9,20260737,lightgbm,0.8879895495834798,0.8766966887392471,0.1316389285046962,0.1558631588405793,0.0122040201177887,0.1008441808892229,-0.011292860844232644,0.08864016077143419,0.024224230335883112,ACS|survey_year_adjusted_50000
ACS,survey_year_adjusted_50000,9,20260737,logistic_regression,0.8838567249662772,0.8720531470573523,0.1337541718432,0.1582493881448614,0.0123756095000651,0.1012757805735583,-0.011803577908924945,0.0889001710734932,0.024495216301661404,ACS|survey_year_adjusted_50000
ACS,unadjusted_reported_income_50000,0,20260728,lightgbm,0.8886744731564591,0.8767150028639007,0.1288563621309288,0.1553195306775147,0.0145457141263749,0.0991506000020847,-0.011959470292558394,0.0846048858757098,0.026463168546585897,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,0,20260728,logistic_regression,0.8856938149720177,0.872562374131258,0.1304606695216007,0.1569827001298149,0.0147765066884539,0.0968495819216757,-0.013131440840759678,0.0820730752332218,0.026522030608214203,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,1,20260729,lightgbm,0.8872907403226087,0.8766578873006794,0.12913375293151,0.157196842119816,0.0134888277902478,0.1030163734271318,-0.01063285302192929,0.089527545636884,0.028063089188305995,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,1,20260729,logistic_regression,0.8814922431028023,0.8724035997265379,0.1322433722504375,0.158338430274173,0.0148858369738163,0.1004227145021309,-0.00908864337626436,0.0855368775283146,0.02609505802373549,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,2,20260730,lightgbm,0.8872900452519211,0.875901744624777,0.1293469924410593,0.1571183586902018,0.0143325974957322,0.1038084379181794,-0.011388300627144132,0.08947584042244719,0.027771366249142504,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,2,20260730,logistic_regression,0.8835247020625258,0.8727007076916067,0.1312048776193482,0.1579038246770507,0.016311598850289,0.1002683816534766,-0.010823994370919077,0.0839567828031876,0.026698947057702482,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,3,20260731,lightgbm,0.8861092715461997,0.8767815911641703,0.1294802424631833,0.154994366040592,0.0142323895427946,0.0973274828359481,-0.009327680382029357,0.0830950932931535,0.025514123577408704,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,3,20260731,logistic_regression,0.8815382036779567,0.87313519598273,0.1324291228095244,0.1569911000327455,0.0082835142061753,0.0979572744230893,-0.008403007695226616,0.08967376021691399,0.024561977223221093,ACS|unadjusted_reported_income_50000
ACS,unadjusted_reported_income_50000,4,20260732,lightgbm,0.8872147505087706,0.8761771575660686,0.1304602758120275,0.1562691691397593,0.0157192864525446,0.1009223079785937,-0.011037592942702013,0.0852030215260491,0.025808893327731813,ACS|unadjusted_reported_income_50000
