repeat,rank,feature_code,feature_name,mutual_information
10,1,laufkont,checking-account status,0.07557487505237051
10,2,laufzeit,duration,0.0723979899709164
10,3,moral,credit history,0.0359306567556211
10,4,verm,property,0.020803291586557637
10,5,hoehe,credit amount,0.01978717042580258
10,6,verw,purpose,0.01632998724880101
10,7,sparkont,savings status,0.014074831895576404
10,8,beszeit,employment duration,0.010675607010251553
10,9,weitkred,other installment plans,0.010114607880268106
10,10,wohn,housing,0.007415151445065327
10,11,famges,personal status and sex,0.005351662124286949
10,12,buerge,other debtors or guarantors,0.00322182705131957
10,13,gastarb,foreign-worker status,0.0031381426272675816
10,14,beruf,job,0.0024185882741654674
10,15,rate,installment rate,0.001984493886137112
10,16,wohnzeit,present residence duration,0.0013470662311443476
10,17,bishkred,number of existing credits,0.0007439908195533071
10,18,telef,telephone,0.000713401388601903
10,19,pers,people liable,0.000252911722637833
10,20,alter,age,0.0
11,1,laufkont,checking-account status,0.07855604287918501
11,2,moral,credit history,0.039730804150546695
11,3,laufzeit,duration,0.02407827837164689
11,4,sparkont,savings status,0.018010935067223163
11,5,alter,age,0.01509805021874544
11,6,verw,purpose,0.013289974159981083
11,7,beszeit,employment duration,0.012299856291363404
11,8,wohn,housing,0.011464401570191185
11,9,hoehe,credit amount,0.01008034502595212
11,10,buerge,other debtors or guarantors,0.009240730913654994
11,11,verm,property,0.008831697043211933
11,12,famges,personal status and sex,0.007822939006378316
11,13,gastarb,foreign-worker status,0.006327569017143265
11,14,weitkred,other installment plans,0.005025052608918182
11,15,rate,installment rate,0.0031020384081204833
11,16,telef,telephone,0.0020503725947228213
11,17,wohnzeit,present residence duration,0.00174365156168374
11,18,bishkred,number of existing credits,0.0014785424903283172
11,19,pers,people liable,0.0003062169834714412
11,20,beruf,job,0.00011605500418425396
12,1,laufkont,checking-account status,0.06991146563221268
12,2,verw,purpose,0.03351258998333742
12,3,alter,age,0.029979174974908984
12,4,sparkont,savings status,0.02690725815259884
12,5,moral,credit history,0.025537884487758927
12,6,hoehe,credit amount,0.021213924349942292
12,7,verm,property,0.01339508201780562
12,8,laufzeit,duration,0.012957601717410672
12,9,wohn,housing,0.012893822013974793
12,10,famges,personal status and sex,0.010787256076105867
12,11,weitkred,other installment plans,0.010016055221393788
12,12,beszeit,employment duration,0.0075131937257549575
12,13,rate,installment rate,0.006023755685913165
12,14,gastarb,foreign-worker status,0.005335948892917908
12,15,bishkred,number of existing credits,0.004082033752094018
12,16,wohnzeit,present residence duration,0.0024660220635718544
12,17,buerge,other debtors or guarantors,0.0014267923922923961
12,18,beruf,job,0.0013834109847859627
12,19,pers,people liable,0.0010533382564495153
12,20,telef,telephone,0.00031617033953557083
13,1,laufkont,checking-account status,0.0643042000988566
13,2,laufzeit,duration,0.052175486943758065
13,3,hoehe,credit amount,0.03815678801635891
13,4,sparkont,savings status,0.0314781223132292
13,5,moral,credit history,0.03033597282369909
13,6,verm,property,0.02127420712938391
13,7,verw,purpose,0.019908956853589677
13,8,beszeit,employment duration,0.012505597657806483
13,9,alter,age,0.01228061594105534
13,10,wohn,housing,0.010181237358829698
13,11,famges,personal status and sex,0.008256862393964587
13,12,weitkred,other installment plans,0.006745505121927287
13,13,gastarb,foreign-worker status,0.004768548816617372
13,14,bishkred,number of existing credits,0.0033325112055959897
13,15,rate,installment rate,0.0026844863747162717
