,,,,coverage,coverage,class0_coverage,class0_coverage,class1_coverage,class1_coverage,avg_set_size,avg_set_size,singleton_rate,singleton_rate,singleton_accuracy,singleton_accuracy,empty_rate,empty_rate
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target_definition,domain,weighting,conformal_method,,,,,,,,,,,,,,
survey_year_adjusted_50000,id_test,survey_weighted,label_conditional,0.9011217277625878,0.0034058025720256502,0.9138759434517096,0.0052500698443733755,0.8807244424777254,0.007297114568760258,1.2338368091488747,0.008615673225854227,0.7661631908511252,0.008615673225854263,0.8709447862755395,0.004175770972887863,0.0,0.0
survey_year_adjusted_50000,id_test,survey_weighted,marginal,0.9008008087645301,0.0034921226004979615,0.9298297968159639,0.002489408051936281,0.8543241707264289,0.006426940966254251,1.226953559987819,0.007426817610141327,0.773046440012181,0.007426817610141309,0.8716908344338392,0.00389867564837647,0.0,0.0
survey_year_adjusted_50000,id_test,unweighted,label_conditional,0.8997933333333334,0.002838613815766752,0.8990770447624314,0.00496824237228526,0.9008262906230625,0.005107575778261095,1.24204,0.00809713865022626,0.75796,0.008097138650226238,0.8678060072290263,0.0029400994918553206,0.0,0.0
survey_year_adjusted_50000,id_test,unweighted,marginal,0.90038,0.002610151123764452,0.9172584886556117,0.002616843300100431,0.8762836377170322,0.003391700046346545,1.2375933333333333,0.007666921090786452,0.7624066666666667,0.00766692109078643,0.8693489905275855,0.002443143034187968,0.0,0.0
survey_year_adjusted_50000,ood_test,survey_weighted,label_conditional,0.8822464207985838,0.004063940970402189,0.9290667215907874,0.0031861447750775344,0.8371737346000522,0.008281445121653465,1.2423196533469332,0.009660905676679871,0.7576803466530667,0.009660905676679838,0.8446200492025197,0.0036499045709065987,0.0,0.0
survey_year_adjusted_50000,ood_test,survey_weighted,marginal,0.8719504786334425,0.003654625147526939,0.9416408869973601,0.002188147850554564,0.8048613345210358,0.005788367193767049,1.2369629447456345,0.009599025723925078,0.7630370552543654,0.009599025723925044,0.8322124081710491,0.002832805493022365,0.0,0.0
survey_year_adjusted_50000,ood_test,unweighted,label_conditional,0.8868613333333334,0.003850095782037675,0.9224080173408777,0.003402145425628057,0.8548749905007978,0.0076253001667293254,1.2416226666666668,0.009379909289092589,0.7583773333333333,0.009379909289092549,0.8508458619702053,0.0034707622668656343,0.0,0.0
survey_year_adjusted_50000,ood_test,unweighted,marginal,0.8776680000000001,0.0034938221314800176,0.9358303071249614,0.0020432219114298582,0.8253312055120704,0.0052281409923159395,1.238448,0.009199787866582761,0.761552,0.00919978786658275,0.839391683386286,0.002775557610891659,0.0,0.0
unadjusted_reported_income_50000,id_test,survey_weighted,label_conditional,0.9027181098049122,0.002554733920117032,0.9139309276631897,0.004110195498876037,0.8824574176129966,0.0070061277316423335,1.231373614451553,0.007961279674399397,0.768626385548447,0.007961279674399286,0.8734427145152075,0.0026330974271826526,0.0,0.0
unadjusted_reported_income_50000,id_test,survey_weighted,marginal,0.9008656495242476,0.004129550920123211,0.9366223315721584,0.003067206683522898,0.8362333785147079,0.007209571393350723,1.2168066644247255,0.010267689481284467,0.7831933355752746,0.010267689481284406,0.8734522611762825,0.004113698360496634,0.0,0.0
unadjusted_reported_income_50000,id_test,unweighted,label_conditional,0.8999666666666666,0.003057999023003646,0.8991966833194324,0.004320511176821099,0.9011963359041723,0.004291002584686941,1.24128,0.008196885888653412,0.7587200000000001,0.008196885888653381,0.868172705495892,0.0030488946561868183,0.0,0.0
unadjusted_reported_income_50000,id_test,unweighted,marginal,0.8998466666666667,0.003288596083062038,0.9252241221700128,0.003807516219073344,0.8593098488637688,0.0036501480652209603,1.2299333333333333,0.009603497305348046,0.7700666666666667,0.009603497305348022,0.8699677417660843,0.002894858531479654,0.0,0.0
unadjusted_reported_income_50000,ood_test,survey_weighted,label_conditional,0.8851947022805341,0.003770267708453734,0.9288086163613253,0.0026296519168864324,0.8378414485788162,0.007446147160013316,1.2405917017865407,0.009069899548259314,0.7594082982134595,0.009069899548259252,0.8488538833807453,0.0032684708721657713,0.0,0.0
unadjusted_reported_income_50000,ood_test,survey_weighted,marginal,0.8691252766444159,0.00418849293852291,0.9476606296542176,0.0021433719872455377,0.7838565138193657,0.006788081454242614,1.2279517104286115,0.011411656862312172,0.7720482895713886,0.011411656862312197,0.8305211236313212,0.003028647868816849,0.0,0.0
unadjusted_reported_income_50000,ood_test,unweighted,label_conditional,0.8890293333333334,0.0035311876084294725,0.921895268474216,0.0027119332192015485,0.855952380952381,0.006808315021124935,1.24058,0.008749613889188174,0.75942,0.008749613889188285,0.8539028176433471,0.0030611353595254758,0.0,0.0
unadjusted_reported_income_50000,ood_test,unweighted,marginal,0.8744053333333334,0.004130145485136694,0.9424428495481127,0.00225959456417709,0.8059309791332263,0.006291039899887329,1.231352,0.011406749918522098,0.768648,0.011406749918522046,0.8366412062316932,0.0030518118922089827,0.0,0.0
