cohort_repeat,seed,target_definition,model,mapping,domain,n,weight_sum,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,calibration_fit_iterations,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
1,20268231,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1567070.0,0.3824430306240308,0.8835326698386925,0.8155360249731627,0.7013004723868066,0.1339023193699648,0.4157859475538327,0.0122260043553205,-0.0670572745276324,1.0033239911447167,10,0.0446202147957653,0.0146043252694519,0.0058114825757624,0.0778301994949643,0.0584139574907031
1,20268231,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7948403.0,0.3981353235360613,0.8764040640126529,0.8092885597353952,0.6831323589464192,0.1394323298962767,0.4318419116175349,0.0154124089238474,-0.1140965460077357,0.9694167656962708,7,0.0492224664501787,0.0172600709853287,0.0057290753878483,0.0858727300437302,0.0646287394832669
2,20268734,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1583332.0,0.3621647260334535,0.8874922704549393,0.8060779674407808,0.6959684726226192,0.1296880069547949,0.4041565913665356,0.0162300665913137,0.0399841528975404,1.0612849285937636,10,0.043851826401538,0.0141846435239103,0.0041968456394489,0.0721745100470124,0.0545224960453485
2,20268734,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7951971.0,0.4825467799115464,0.8702586443710585,0.8506183853682815,0.7113137790384545,0.1612391311427133,0.4919336295020879,0.1078922989623142,0.7256205863616662,0.950930073623743,11,0.067882038302202,0.0271955217140505,0.0101416365829301,0.115375085347945,0.0851472482357356
2,20268734,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1583332.0,0.390331276068443,0.8849058714281444,0.8199275518682532,0.7046388619535578,0.1336144756043312,0.4153057001696238,0.0179064043415965,0.0091326437283042,1.0547359071158742,10,0.044955827331223,0.0132208532386132,0.0037086347020081,0.0773984063858524,0.058570588446517
2,20268734,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7951971.0,0.5134161077800712,0.8696654933060803,0.8638937332382265,0.7202820131574444,0.1610980770578338,0.492123549280607,0.1075882969729787,0.7192702514825458,0.9495587168154734,11,0.0652391715211235,0.0258734595485823,0.00967923550023,0.1173866898652329,0.0875995635294761
2,20268734,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1583332.0,0.390331276068443,0.8849058714281444,0.8199275518682532,0.7046388619535578,0.1336144756043312,0.4153057001696238,0.0179064043415965,0.0091326437283042,1.0547359071158742,10,0.044955827331223,0.0132208532386132,0.0037086347020081,0.0773984063858524,0.058570588446517
2,20268734,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7951971.0,0.3981417940281724,0.8726706390198989,0.805300146489287,0.6765021203020256,0.1414296143864059,0.4367694804774145,0.0087621246878119,-0.0587914369231269,0.9879885038959672,7,0.0462868891247214,0.0156739756721949,0.0055805032488171,0.088219947235733,0.0658008565652099
3,20269237,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1587636.0,0.359560377819601,0.8823362552724641,0.803681979821689,0.6934636562460963,0.1323116234177722,0.4104250725330713,0.0088026636631183,0.0285421065237187,0.9732929428495084,7,0.0479240833541189,0.0165245686038865,0.0063767765407184,0.0748353900628634,0.0547238481005134
3,20269237,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7997238.0,0.4818688652257192,0.871908812343195,0.8526990120715177,0.7157071288668019,0.1616912223016449,0.4949231260977776,0.1111296227210549,0.7426340881289238,0.902277524967766,11,0.0743426668057146,0.0322547609562201,0.0126748760009393,0.1141392374562159,0.0840651683641281
3,20269237,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1587636.0,0.388719454585308,0.8813859480665056,0.8189057076990967,0.703746023557728,0.135659366342724,0.4200560346635363,0.0129980115176955,0.054792714715668,0.9784725726219012,8,0.0476904025859831,0.0170927089080872,0.0057651753928482,0.079482659984678,0.0589699426240538
3,20269237,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7997238.0,0.5111159627861519,0.8709246040003621,0.865053454024526,0.723970234854599,0.1630792312812277,0.4985292600926292,0.1143623627085563,0.7645982674129961,0.9033040908970602,11,0.0739750398825194,0.0304510132123115,0.0112607627783492,0.1176785957161004,0.0869458397185428
3,20269237,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1587636.0,0.388719454585308,0.8813859480665056,0.8189057076990967,0.703746023557728,0.135659366342724,0.4200560346635363,0.0129980115176955,0.054792714715668,0.9784725726219012,8,0.0476904025859831,0.0170927089080872,0.0057651753928482,0.079482659984678,0.0589699426240538
3,20269237,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7997238.0,0.3967488525413399,0.8739915871416088,0.8067759770659129,0.6796955567377043,0.1405862100254044,0.4347077293488774,0.0097067651972314,-0.0125215395114455,0.9347189016187872,7,0.0514682694200172,0.0190689585579421,0.0063350621802177,0.0868528132866088,0.0648638097008085
4,20269740,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1587548.0,0.3577422540924747,0.8808546368531212,0.8021223738477523,0.6919030912229139,0.1325514349258364,0.4121059274137829,0.0082860131488045,0.0261248681571963,0.9794945125250852,7,0.0485604214801694,0.0173361687331658,0.0053982619738111,0.0758899610411227,0.0566248140093971
4,20269740,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7963968.0,0.4788842697509583,0.8717749698146636,0.8491625952660625,0.7105491237774532,0.1580442005914464,0.4844063086833899,0.0989189326941329,0.6560885241026281,0.9163448202529372,11,0.0683070298625007,0.0288835916970033,0.0111749570063566,0.1104671189829939,0.0819805210668079
4,20269740,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1587548.0,0.3844110540279727,0.8794568090052322,0.8160703796886297,0.7012135752032687,0.1360961655624231,0.421829042669287,0.0092165375655684,0.0275010679828855,0.9790986135988546,7,0.0472357371241688,0.0179610317294343,0.005211181016259,0.0805055019405943,0.0601657850782117
4,20269740,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7963968.0,0.5092412475790963,0.8713293873348636,0.861653568941855,0.7180968645476322,0.1586660882917797,0.4868565051570129,0.1022245510861228,0.6727430958053233,0.9151698185414228,11,0.0680665718395654,0.028059756141662,0.0107048395975473,0.1133301586005563,0.0848330122773598
4,20269740,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1587548.0,0.3844110540279727,0.8794568090052322,0.8160703796886297,0.7012135752032687,0.1360961655624231,0.421829042669287,0.0092165375655684,0.0275010679828855,0.9790986135988546,7,0.0472357371241688,0.0179610317294343,0.005211181016259,0.0805055019405943,0.0601657850782117
4,20269740,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7963968.0,0.3964384337054091,0.8743054323086898,0.8044037761376744,0.6759299551441991,0.1404899150762612,0.4349005208422714,0.013256202490702,-0.096021916007018,0.9485345066528016,7,0.049718808513545,0.0186010290347726,0.0062863135562573,0.0873396332903764,0.065244248514745
